date,adj_close,close,high,low,open,volume,symbol
2015-06-17,28.511,31.825,31.97,31.685,31.93,131672400,AAPL
2015-06-18,28.6409,31.97,32.0775,31.805,31.8075,141628800,AAPL
2015-06-19,28.3542,31.65,31.955,31.6,31.9275,218867600,AAPL
2015-06-22,28.5804,31.9025,32.015,31.77,31.8725,136157200,AAPL
2015-06-23,28.4505,31.7575,31.9025,31.72,31.87,121075600,AAPL
2015-06-24,28.6924,32.0275,32.45,31.78,31.8025,221123600,AAPL
2015-06-25,28.5558,31.875,32.3,31.875,32.215,127752400,AAPL
2015-06-26,28.3878,31.6875,31.9975,31.6275,31.9175,176267200,AAPL
2015-06-29,27.8906,31.1325,31.6175,31.12,31.365,196645600,AAPL
2015-06-30,28.0922,31.3575,31.53,31.215,31.3925,177482800,AAPL
2015-07-01,28.3542,31.65,31.735,31.4975,31.725,120955200,AAPL
2015-07-02,28.3184,31.61,31.6725,31.4425,31.6075,108844000,AAPL
2015-07-06,28.2198,31.5,31.5575,31.2125,31.235,112241600,AAPL
2015-07-07,28.1504,31.4225,31.5375,30.9425,31.4725,187787200,AAPL
2015-07-08,27.4516,30.6425,31.16,30.635,31.12,243046400,AAPL
2015-07-09,26.8917,30.0175,31.015,29.805,30.9625,314380000,AAPL
2015-07-10,27.6106,30.82,30.9625,30.3025,30.485,245418000,AAPL
2015-07-13,28.1437,31.415,31.44,31.08,31.2575,165762000,AAPL
2015-07-14,28.1325,31.4025,31.5925,31.26,31.51,127072400,AAPL
2015-07-15,28.4035,31.705,31.7875,31.395,31.43,134596800,AAPL
2015-07-16,28.782,32.1275,32.1425,31.8375,31.935,144889600,AAPL
2015-07-17,29.0306,32.405,32.405,32.0775,32.27,184658800,AAPL
2015-07-20,29.5793,33.0175,33.2425,32.675,32.7425,235600800,AAPL
2015-07-21,29.2837,32.6875,33.23,32.58,33.2125,307025600,AAPL
2015-07-22,28.0451,31.305,31.375,30.4975,30.4975,461802400,AAPL
2015-07-23,28.0317,31.29,31.7725,31.265,31.55,203998000,AAPL
2015-07-24,27.8839,31.125,31.435,30.975,31.33,168649200,AAPL
2015-07-27,27.4964,30.6925,30.9025,30.53,30.7725,177822000,AAPL
2015-07-28,27.633,30.845,30.9775,30.6375,30.845,134472400,AAPL
2015-07-29,27.5457,30.7475,30.875,30.5675,30.7875,148046800,AAPL
2015-07-30,27.4068,30.5925,30.6425,30.4275,30.58,134513200,AAPL
2015-07-31,27.1672,30.325,30.66,30.2275,30.65,171540000,AAPL
2015-08-03,26.5266,29.61,30.6425,29.38,30.375,279904000,AAPL
2015-08-04,25.6756,28.66,29.425,28.3125,29.355,496554400,AAPL
2015-08-05,25.8458,28.85,29.36,28.025,28.2375,397250400,AAPL
2015-08-06,25.902,28.7825,29.125,28.53,28.9925,211612000,AAPL
2015-08-07,25.9898,28.88,29.0625,28.625,28.645,154681600,AAPL
2015-08-10,26.9347,29.93,29.9975,29.1325,29.1325,219806400,AAPL
2015-08-11,25.533,28.3725,29.545,28.3325,29.4525,388331200,AAPL
2015-08-12,25.9268,28.81,28.855,27.4075,28.1325,404870000,AAPL
2015-08-13,25.9065,28.7875,29.1,28.635,29.01,194143200,AAPL
2015-08-14,26.0888,28.99,29.0775,28.5025,28.58,171718000,AAPL
2015-08-17,26.3587,29.29,29.4125,28.875,29.01,163538800,AAPL
2015-08-18,26.2102,29.125,29.36,29.0025,29.1075,138242800,AAPL
2015-08-19,25.875,28.7525,29.13,28.67,29.025,193146000,AAPL
2015-08-20,25.3441,28.1625,28.5875,27.9075,28.52,274006400,AAPL
2015-08-21,23.7939,26.44,27.975,26.4125,27.6075,513102000,AAPL
2015-08-24,23.2,25.78,27.2,23.0,23.7175,648825200,AAPL
2015-08-25,23.3395,25.935,27.7775,25.875,27.7775,414406400,AAPL
2015-08-26,24.6781,27.4225,27.4725,26.2625,26.7725,387098400,AAPL
2015-08-27,25.4048,28.23,28.31,27.505,28.0575,338464400,AAPL
2015-08-28,25.4881,28.3225,28.3275,27.885,28.0425,212657600,AAPL
2015-08-31,25.3688,28.19,28.6325,28.0,28.0075,224917200,AAPL
2015-09-01,24.2349,26.93,27.97,26.84,27.5375,307383600,AAPL
2015-09-02,25.2743,28.085,28.085,27.2825,27.5575,247555200,AAPL
2015-09-03,24.8311,27.5925,28.195,27.51,28.1225,212935600,AAPL
2015-09-04,24.5836,27.3175,27.6125,27.1275,27.2425,199985200,AAPL
2015-09-08,25.2676,28.0775,28.14,27.58,27.9375,219374400,AAPL
2015-09-09,24.7816,27.5375,28.505,27.4425,28.44,340043200,AAPL
2015-09-10,25.3261,28.1425,28.32,27.475,27.5675,251571200,AAPL
2015-09-11,25.695,28.5525,28.5525,27.94,27.9475,199662000,AAPL
2015-09-14,25.9425,28.8275,29.2225,28.715,29.145,233453600,AAPL
2015-09-15,26.1607,29.07,29.1325,28.605,28.9825,173364800,AAPL
2015-09-16,26.19,29.1025,29.135,28.86,29.0625,148694000,AAPL
2015-09-17,25.6298,28.48,29.1225,28.43,28.915,256450400,AAPL
2015-09-18,25.524,28.3625,28.575,27.9675,28.0525,297141200,AAPL
2015-09-21,25.92,28.8025,28.8425,28.415,28.4175,200888000,AAPL
2015-09-22,25.5128,28.35,28.545,28.13,28.345,201384800,AAPL
2015-09-23,25.7198,28.58,28.68,28.325,28.4075,143026800,AAPL
2015-09-24,25.8728,28.75,28.875,28.0925,28.3125,200878000,AAPL
2015-09-25,25.8075,28.6775,29.1725,28.505,29.11,224607600,AAPL
2015-09-28,25.2968,28.11,28.6425,28.11,28.4625,208436000,AAPL
2015-09-29,24.5364,27.265,28.3775,26.965,28.2075,293461600,AAPL
2015-09-30,24.8154,27.575,27.885,27.1825,27.5425,265892000,AAPL
2015-10-01,24.6534,27.395,27.405,26.8275,27.2675,255716400,AAPL
2015-10-02,24.8334,27.595,27.7525,26.8875,27.0025,232079200,AAPL
2015-10-05,24.9234,27.695,27.8425,27.2675,27.47,208258800,AAPL
2015-10-06,25.0426,27.8275,27.935,27.4425,27.6575,192787200,AAPL
2015-10-07,24.9234,27.695,27.9425,27.3525,27.935,187062400,AAPL
2015-10-08,24.6354,27.375,27.5475,27.0525,27.5475,247918400,AAPL
2015-10-09,25.2248,28.03,28.07,27.3725,27.5,211064400,AAPL
2015-10-12,25.1078,27.9,28.1875,27.86,28.1825,121868800,AAPL
2015-10-13,25.1506,27.9475,28.1125,27.67,27.705,132197200,AAPL
2015-10-14,24.7951,27.5525,27.88,27.39,27.8225,177849600,AAPL
2015-10-15,25.1663,27.965,28.025,27.6225,27.7325,150694000,AAPL
2015-10-16,24.9819,27.76,28.0,27.6325,27.945,156930400,AAPL
2015-10-19,25.1371,27.9325,27.9375,27.5275,27.7,119036800,AAPL
2015-10-20,25.596,28.4425,28.5425,27.705,27.835,195871200,AAPL
2015-10-21,25.5938,28.44,28.895,28.425,28.5,167180800,AAPL
2015-10-22,25.9853,28.875,28.875,28.525,28.5825,166616400,AAPL
2015-10-23,26.7907,29.77,29.8075,29.0825,29.175,237467600,AAPL
2015-10-26,25.9358,28.82,29.5325,28.73,29.52,265335200,AAPL
2015-10-27,25.7715,28.6375,29.135,28.4975,28.85,279537600,AAPL
2015-10-28,26.8334,29.8175,29.825,29.015,29.2325,342205600,AAPL
2015-10-29,27.1169,30.1325,30.1725,29.5675,29.675,204909200,AAPL
2015-10-30,26.8852,29.875,30.305,29.8625,30.2475,197461200,AAPL
2015-11-02,27.2632,30.295,30.34,29.9025,30.2,128813200,AAPL
2015-11-03,27.5759,30.6425,30.8725,30.175,30.1975,182076000,AAPL
2015-11-04,27.4476,30.5,30.955,30.405,30.7825,179544400,AAPL
2015-11-05,27.3211,30.23,30.6725,30.045,30.4625,158210800,AAPL
2015-11-06,27.3527,30.265,30.4525,30.155,30.2775,132169200,AAPL
2015-11-09,27.242,30.1425,30.4525,30.0125,30.24,135485600,AAPL
2015-11-10,26.3834,29.1925,29.5175,29.015,29.225,236511600,AAPL
2015-11-11,26.2343,29.0275,29.355,28.8025,29.0925,180872000,AAPL
