date,adj_close,close,high,low,open,volume,symbol
2015-06-17,77.91,77.91,80.0,77.74,79.5,6464200,ADBE
2015-06-18,79.39,79.39,79.94,77.82,77.82,3858600,ADBE
2015-06-19,79.7,79.7,79.94,79.06,79.41,3155600,ADBE
2015-06-22,82.28,82.28,82.66,79.85,80.0,5830000,ADBE
2015-06-23,83.55,83.55,83.77,82.1,82.17,4944400,ADBE
2015-06-24,83.4,83.4,84.36,82.97,83.22,4311200,ADBE
2015-06-25,83.94,83.94,84.27,83.49,83.82,3052900,ADBE
2015-06-26,82.74,82.74,84.22,82.27,84.22,5914700,ADBE
2015-06-29,81.28,81.28,82.06,81.15,81.22,4060300,ADBE
2015-06-30,81.01,81.01,82.34,80.95,82.19,4086400,ADBE
2015-07-01,80.94,80.94,81.92,80.71,81.57,2944300,ADBE
2015-07-02,80.75,80.75,81.29,80.38,81.19,2200900,ADBE
2015-07-06,80.5,80.5,81.19,80.0,80.02,2590900,ADBE
2015-07-07,80.59,80.59,81.0,78.94,80.77,2781900,ADBE
2015-07-08,79.99,79.99,80.52,79.4,79.95,4157600,ADBE
2015-07-09,80.47,80.47,81.67,80.41,80.74,3067900,ADBE
2015-07-10,80.59,80.59,81.5,80.47,81.5,3025100,ADBE
2015-07-13,81.44,81.44,81.66,80.82,81.09,4597200,ADBE
2015-07-14,81.89,81.89,82.35,81.24,81.67,4428100,ADBE
2015-07-15,82.12,82.12,82.32,81.71,82.2,3214900,ADBE
2015-07-16,82.52,82.52,82.67,82.2,82.65,2058100,ADBE
2015-07-17,82.1,82.1,82.73,81.48,82.17,2402700,ADBE
2015-07-20,82.09,82.09,82.19,81.45,82.0,1995800,ADBE
2015-07-21,81.19,81.19,82.1,81.01,81.8,3916400,ADBE
2015-07-22,80.73,80.73,81.75,80.65,81.38,2601200,ADBE
2015-07-23,80.64,80.64,81.4,80.48,80.8,2579500,ADBE
2015-07-24,80.98,80.98,81.36,80.54,81.0,3575300,ADBE
2015-07-27,79.93,79.93,80.7,79.73,80.53,2762700,ADBE
2015-07-28,80.59,80.59,80.65,79.13,80.07,2681000,ADBE
2015-07-29,80.25,80.25,80.54,79.56,80.07,2178000,ADBE
2015-07-30,81.29,81.29,81.8,79.2,79.9,2072700,ADBE
2015-07-31,81.99,81.99,82.82,81.37,81.8,2893400,ADBE
2015-08-03,81.4,81.4,82.26,80.7,82.18,2074000,ADBE
2015-08-04,82.06,82.06,82.18,81.17,81.43,1375400,ADBE
2015-08-05,83.38,83.38,84.12,82.17,82.78,1773000,ADBE
2015-08-06,82.19,82.19,83.63,82.07,83.47,2272300,ADBE
2015-08-07,82.69,82.69,82.92,81.48,81.87,1989700,ADBE
2015-08-10,83.62,83.62,83.92,83.19,83.39,1999600,ADBE
2015-08-11,83.9,83.9,84.86,83.05,84.06,3103200,ADBE
2015-08-12,83.82,83.82,84.14,82.08,83.16,2218500,ADBE
2015-08-13,84.31,84.31,84.83,83.0,83.82,1963400,ADBE
2015-08-14,86.12,86.12,86.38,83.96,83.96,2610200,ADBE
2015-08-17,86.77,86.77,86.78,84.9,86.0,1788300,ADBE
2015-08-18,86.45,86.45,87.25,86.03,86.98,1468300,ADBE
2015-08-19,85.48,85.48,86.47,85.21,86.12,2460800,ADBE
2015-08-20,82.69,82.69,84.9,82.69,84.66,3108800,ADBE
2015-08-21,78.87,78.87,82.16,78.87,81.94,6807400,ADBE
2015-08-24,74.27,74.27,77.82,71.33,75.0,6938500,ADBE
2015-08-25,74.57,74.57,78.33,74.47,77.02,7465400,ADBE
2015-08-26,77.33,77.33,77.61,74.56,76.14,4243600,ADBE
2015-08-27,78.91,78.91,79.28,77.39,78.41,5197200,ADBE
2015-08-28,79.4,79.4,79.45,77.75,78.42,3316400,ADBE
2015-08-31,78.57,78.57,79.7,78.3,79.38,2313100,ADBE
2015-09-01,75.99,75.99,77.82,75.63,77.07,3206400,ADBE
2015-09-02,77.25,77.25,77.33,75.54,77.0,3533800,ADBE
2015-09-03,78.32,78.32,79.55,77.36,77.6,3480100,ADBE
2015-09-04,76.89,76.89,78.27,76.39,76.99,2326500,ADBE
2015-09-08,79.78,79.78,79.91,78.13,78.64,2670600,ADBE
2015-09-09,78.52,78.52,81.51,78.23,80.79,2460300,ADBE
2015-09-10,78.7,78.7,78.97,78.01,78.63,3541000,ADBE
2015-09-11,79.19,79.19,79.23,77.94,78.44,2913700,ADBE
2015-09-14,78.46,78.46,79.41,78.28,79.35,2545900,ADBE
2015-09-15,79.53,79.53,80.11,78.3,78.61,3436300,ADBE
2015-09-16,80.53,80.53,80.67,79.32,79.51,2509800,ADBE
2015-09-17,80.31,80.31,81.88,79.7,80.45,4892900,ADBE
2015-09-18,81.25,81.25,84.95,78.16,78.54,16424000,ADBE
2015-09-21,83.32,83.32,83.69,81.42,81.42,4919700,ADBE
2015-09-22,84.66,84.66,84.83,81.77,81.98,6336500,ADBE
2015-09-23,85.5,85.5,85.99,84.05,84.92,4007700,ADBE
2015-09-24,83.91,83.91,85.37,83.36,85.07,4463700,ADBE
2015-09-25,83.13,83.13,84.72,82.58,84.71,3736900,ADBE
2015-09-28,80.52,80.52,83.0,80.03,82.88,3435700,ADBE
2015-09-29,79.83,79.83,80.58,79.09,80.52,3126300,ADBE
2015-09-30,82.22,82.22,82.37,80.38,80.88,3653800,ADBE
2015-10-01,83.75,83.75,83.77,81.57,82.42,3407800,ADBE
2015-10-02,83.99,83.99,84.01,81.29,82.21,3402600,ADBE
2015-10-05,85.84,85.84,86.31,84.49,84.8,4204800,ADBE
2015-10-06,85.15,85.15,86.0,84.84,85.6,3662900,ADBE
2015-10-07,80.65,80.65,83.1,79.02,82.2,14474800,ADBE
2015-10-08,82.26,82.26,82.48,80.2,80.45,4596000,ADBE
2015-10-09,83.82,83.82,83.9,81.99,82.41,3774300,ADBE
2015-10-12,83.92,83.92,84.84,83.23,83.66,2706600,ADBE
2015-10-13,83.65,83.65,84.64,83.31,83.32,1992800,ADBE
2015-10-14,83.8,83.8,84.73,83.4,84.0,2391200,ADBE
2015-10-15,86.77,86.77,86.86,84.09,84.19,4381900,ADBE
2015-10-16,88.67,88.67,89.04,86.18,87.17,5332100,ADBE
2015-10-19,88.4,88.4,88.49,87.03,88.15,3353900,ADBE
2015-10-20,86.84,86.84,88.65,86.42,88.15,2694200,ADBE
2015-10-21,86.13,86.13,87.57,85.87,87.22,2883000,ADBE
2015-10-22,88.46,88.46,88.83,86.56,86.56,3547100,ADBE
2015-10-23,87.86,87.86,89.44,87.44,89.0,6744100,ADBE
2015-10-26,88.84,88.84,89.7,87.61,87.91,2375700,ADBE
2015-10-27,88.05,88.05,88.85,87.81,88.65,2593600,ADBE
2015-10-28,88.5,88.5,88.83,87.58,88.44,3206700,ADBE
2015-10-29,88.12,88.12,88.5,87.51,88.26,1623400,ADBE
2015-10-30,88.66,88.66,89.49,87.9,87.99,2131600,ADBE
2015-11-02,89.91,89.91,90.55,88.47,89.03,2904700,ADBE
2015-11-03,90.36,90.36,90.74,88.92,89.59,2102200,ADBE
2015-11-04,91.01,91.01,91.34,90.21,90.34,1873700,ADBE
2015-11-05,90.55,90.55,91.87,89.79,91.5,1835600,ADBE
2015-11-06,90.69,90.69,90.79,88.97,90.07,2004200,ADBE
2015-11-09,89.8,89.8,90.49,88.99,90.24,1705200,ADBE
2015-11-10,90.28,90.28,90.31,88.99,89.56,1943600,ADBE
2015-11-11,91.21,91.21,91.47,90.25,90.68,2361500,ADBE
2015-11-12,90.84,90.84,91.88,90.74,91.08,2458800,ADBE
2015-11-13,89.02,89.02,90.95,88.8,90.95,1831400,ADBE
2015-11-16,89.77,89.77,89.8,88.0,89.66,2198500,ADBE
2015-11-17,90.29,90.29,91.29,89.87,89.96,1736500,ADBE
2015-11-18,91.27,91.27,91.39,89.47,90.31,1453600,ADBE
2015-11-19,91.76,91.76,92.13,91.28,91.52,2414400,ADBE
2015-11-20,91.81,91.81,92.5,91.22,92.33,2134500,ADBE
2015-11-23,91.96,91.96,92.37,91.27,91.82,1570400,ADBE
2015-11-24,92.0,92.0,92.22,90.09,91.14,2046200,ADBE
2015-11-25,91.77,91.77,92.5,91.7,92.3,1117800,ADBE
2015-11-27,92.17,92.17,92.57,91.77,91.86,633000,ADBE
2015-11-30,91.46,91.46,92.66,91.13,92.41,2380200,ADBE
2015-12-01,92.55,92.55,92.58,91.1,92.01,1545100,ADBE
2015-12-02,92.02,92.02,92.85,91.68,92.52,1904500,ADBE
2015-12-03,89.91,89.91,92.76,89.73,91.97,2424500,ADBE
2015-12-04,92.58,92.58,92.82,90.13,90.13,2980800,ADBE
2015-12-07,89.6,89.6,92.88,89.22,92.56,3958700,ADBE
2015-12-08,91.72,91.72,92.09,88.96,89.22,3372900,ADBE
2015-12-09,89.56,89.56,91.79,88.95,91.04,3333600,ADBE
2015-12-10,88.96,88.96,90.43,88.51,90.41,4751900,ADBE
2015-12-11,91.42,91.42,93.65,90.12,92.51,8315000,ADBE
2015-12-14,93.26,93.26,93.31,91.02,91.71,3784100,ADBE
2015-12-15,94.02,94.02,95.79,93.72,93.98,4099800,ADBE
2015-12-16,95.56,95.56,95.66,93.61,94.41,2613900,ADBE
2015-12-17,94.2,94.2,96.42,94.19,95.7,3069700,ADBE
2015-12-18,91.31,91.31,93.92,91.3,93.73,5314200,ADBE
2015-12-21,91.62,91.62,92.69,90.81,92.16,2663600,ADBE
2015-12-22,93.82,93.82,93.95,91.63,91.94,1873600,ADBE
2015-12-23,94.7,94.7,94.99,93.53,94.42,1526500,ADBE
2015-12-24,94.3,94.3,95.19,94.03,94.45,598200,ADBE
2015-12-28,94.2,94.2,94.3,93.23,93.79,1027000,ADBE
2015-12-29,95.33,95.33,95.9,94.6,94.6,1124900,ADBE
2015-12-30,95.28,95.28,96.02,95.0,95.19,1153600,ADBE
2015-12-31,93.94,93.94,95.21,93.88,95.07,1454000,ADBE
2016-01-04,91.97,91.97,92.0,90.54,91.77,2993800,ADBE
2016-01-05,92.34,92.34,92.85,91.41,92.01,1821300,ADBE
2016-01-06,91.02,91.02,91.5,90.24,91.1,1674000,ADBE
2016-01-07,89.11,89.11,91.4,88.71,89.4,2717800,ADBE
2016-01-08,87.85,87.85,89.99,87.63,89.68,2263400,ADBE
2016-01-11,89.38,89.38,89.8,87.84,88.07,2362200,ADBE
2016-01-12,89.82,89.82,91.03,88.41,89.89,2370500,ADBE
2016-01-13,88.3,88.3,91.44,87.99,90.59,3409100,ADBE
2016-01-14,89.8,89.8,90.3,87.32,88.92,4087500,ADBE
2016-01-15,89.17,89.17,89.35,86.82,86.84,3937500,ADBE
2016-01-19,89.18,89.18,91.4,88.37,90.29,3680600,ADBE
2016-01-20,87.94,87.94,88.76,84.67,87.69,3667200,ADBE
2016-01-21,88.0,88.0,89.93,87.14,88.64,4298700,ADBE
2016-01-22,89.63,89.63,89.93,88.48,89.55,5390100,ADBE
2016-01-25,86.77,86.77,89.26,86.63,88.39,3945000,ADBE
2016-01-26,86.89,86.89,87.58,85.47,87.26,2745700,ADBE
2016-01-27,84.85,84.85,87.83,84.51,87.27,3070600,ADBE
2016-01-28,84.52,84.52,85.74,82.7,85.54,5315500,ADBE
2016-01-29,89.13,89.13,89.13,85.12,85.55,4679500,ADBE
2016-02-01,89.61,89.61,90.24,87.9,88.16,2893100,ADBE
2016-02-02,87.95,87.95,89.02,87.64,88.71,3070900,ADBE
2016-02-03,87.99,87.99,89.25,86.67,88.91,3185700,ADBE
2016-02-04,86.36,86.36,87.97,85.78,87.82,3417400,ADBE
2016-02-05,79.2,79.2,85.5,77.83,85.5,10644200,ADBE
2016-02-08,74.94,74.94,78.33,71.27,77.4,12910000,ADBE
2016-02-09,73.85,73.85,77.19,73.04,74.76,6697400,ADBE
2016-02-10,75.53,75.53,77.61,73.9,74.99,6465300,ADBE
2016-02-11,74.94,74.94,75.53,73.58,74.04,4984700,ADBE
2016-02-12,76.67,76.67,77.36,75.4,75.99,4368700,ADBE
2016-02-16,78.88,78.88,79.2,77.13,77.13,4736400,ADBE
2016-02-17,81.85,81.85,82.07,78.54,79.4,4474200,ADBE
2016-02-18,80.53,80.53,82.82,80.14,82.3,3560300,ADBE
2016-02-19,80.87,80.87,80.94,79.51,80.32,3928900,ADBE
2016-02-22,83.8,83.8,84.16,82.05,82.09,3615500,ADBE
2016-02-23,83.07,83.07,84.49,82.86,83.41,2958400,ADBE
2016-02-24,83.42,83.42,83.53,80.93,82.22,2667300,ADBE
2016-02-25,86.68,86.68,86.72,84.15,84.76,3284000,ADBE
2016-02-26,86.6,86.6,87.48,84.1,87.11,3723200,ADBE
2016-02-29,85.15,85.15,86.19,85.09,86.01,3156400,ADBE
2016-03-01,88.37,88.37,88.4,84.59,85.92,3603900,ADBE
2016-03-02,88.39,88.39,88.55,87.26,88.12,2863500,ADBE
2016-03-03,87.21,87.21,88.5,85.85,88.5,3082100,ADBE
2016-03-04,86.18,86.18,87.94,85.58,87.93,3002500,ADBE
2016-03-07,85.11,85.11,85.96,84.05,85.58,3121300,ADBE
2016-03-08,84.35,84.35,85.95,83.17,84.25,3245700,ADBE
2016-03-09,85.27,85.27,85.29,83.25,84.88,2491500,ADBE
2016-03-10,84.85,84.85,86.52,83.59,85.06,2969700,ADBE
2016-03-11,86.0,86.0,86.23,84.63,85.2,3330400,ADBE
2016-03-14,87.01,87.01,87.75,85.84,86.11,3754500,ADBE
2016-03-15,86.83,86.83,87.19,86.22,86.4,2909600,ADBE
2016-03-16,88.17,88.17,88.48,86.4,86.7,3383000,ADBE
2016-03-17,89.96,89.96,90.21,87.25,88.66,6914600,ADBE
2016-03-18,93.42,93.42,98.0,93.11,98.0,12530100,ADBE
2016-03-21,92.5,92.5,93.27,91.33,92.69,4657300,ADBE
2016-03-22,92.56,92.56,93.42,92.05,92.06,4475800,ADBE
2016-03-23,92.16,92.16,92.94,91.93,92.62,2767600,ADBE
2016-03-24,92.52,92.52,92.74,91.25,91.5,3266800,ADBE
2016-03-28,92.4,92.4,92.83,91.9,92.68,2283000,ADBE
2016-03-29,93.22,93.22,93.44,91.76,91.79,4248600,ADBE
2016-03-30,93.78,93.78,94.48,92.98,93.63,6797200,ADBE
2016-03-31,93.8,93.8,94.58,93.23,93.76,6561400,ADBE
2016-04-01,95.16,95.16,95.47,92.77,93.33,3981300,ADBE
2016-04-04,94.5,94.5,96.28,94.23,95.42,2398300,ADBE
2016-04-05,94.17,94.17,94.77,93.22,93.32,2472600,ADBE
2016-04-06,95.4,95.4,95.49,93.97,94.07,2705700,ADBE
2016-04-07,93.78,93.78,94.89,93.19,94.72,2370500,ADBE
2016-04-08,94.07,94.07,94.5,93.39,94.48,2063100,ADBE
2016-04-11,92.95,92.95,94.81,92.84,94.43,2165100,ADBE
2016-04-12,93.42,93.42,93.67,92.22,93.18,2079000,ADBE
2016-04-13,94.53,94.53,94.6,93.69,93.82,2055000,ADBE
2016-04-14,94.44,94.44,94.71,94.01,94.34,1764000,ADBE
2016-04-15,95.16,95.16,95.22,94.16,94.66,2187400,ADBE
2016-04-18,96.55,96.55,96.58,94.59,94.75,2174900,ADBE
2016-04-19,96.52,96.52,97.69,95.13,97.0,2507100,ADBE
2016-04-20,96.33,96.33,97.0,95.76,97.0,2712100,ADBE
2016-04-21,96.37,96.37,97.14,95.76,96.21,2066900,ADBE
2016-04-22,94.79,94.79,96.24,93.76,96.17,3797900,ADBE
2016-04-25,95.8,95.8,96.04,94.22,94.38,2047000,ADBE
2016-04-26,96.15,96.15,96.3,95.22,95.96,1419300,ADBE
2016-04-27,95.64,95.64,95.99,94.53,95.72,2082800,ADBE
2016-04-28,93.64,93.64,95.74,93.15,94.8,3497700,ADBE
2016-04-29,94.22,94.22,94.58,92.32,92.89,3163800,ADBE
2016-05-02,94.9,94.9,94.99,93.81,94.29,2330600,ADBE
2016-05-03,93.66,93.66,94.39,93.09,94.07,1811400,ADBE
2016-05-04,92.94,92.94,93.59,92.55,93.18,1710700,ADBE
2016-05-05,93.5,93.5,94.22,92.92,93.1,1894800,ADBE
2016-05-06,94.3,94.3,94.4,92.57,93.13,1465000,ADBE
2016-05-09,94.61,94.61,95.19,93.87,94.0,1406900,ADBE
