date,adj_close,close,high,low,open,volume,symbol
2015-06-17,14.0173,17.37,17.6,17.3,17.59,88712100,BAC
2015-06-18,14.0253,17.38,17.4,17.22,17.35,97599900,BAC
2015-06-19,13.8559,17.17,17.39,17.12,17.28,83395400,BAC
2015-06-22,14.098,17.47,17.53,17.35,17.36,58477700,BAC
2015-06-23,14.2594,17.67,17.72,17.56,17.56,63865700,BAC
2015-06-24,14.1141,17.49,17.69,17.45,17.53,59079500,BAC
2015-06-25,14.0173,17.37,17.62,17.35,17.57,59772200,BAC
2015-06-26,14.0495,17.41,17.52,17.35,17.48,63080800,BAC
2015-06-29,13.6299,16.89,17.25,16.86,17.13,98604200,BAC
2015-06-30,13.7348,17.02,17.13,16.85,17.08,89039800,BAC
2015-07-01,13.8962,17.22,17.31,17.09,17.25,62317400,BAC
2015-07-02,13.7429,17.03,17.21,16.89,17.16,64736500,BAC
2015-07-06,13.6703,16.94,17.01,16.71,16.78,58726900,BAC
2015-07-07,13.4685,16.69,16.93,16.34,16.9,115450500,BAC
2015-07-08,13.1134,16.25,16.5,16.22,16.42,83033000,BAC
2015-07-09,13.299,16.48,16.72,16.45,16.53,81534400,BAC
2015-07-10,13.4766,16.7,16.84,16.66,16.8,72965300,BAC
2015-07-13,13.7348,17.02,17.05,16.9,16.97,67934300,BAC
2015-07-14,13.8236,17.13,17.15,16.86,16.93,69999800,BAC
2015-07-15,14.2674,17.68,17.85,17.49,17.53,173099900,BAC
2015-07-16,14.4853,17.95,18.07,17.86,17.91,117054300,BAC
2015-07-17,14.6064,18.1,18.16,17.89,17.96,96894900,BAC
2015-07-20,14.6225,18.12,18.23,18.08,18.15,71980100,BAC
2015-07-21,14.5902,18.08,18.17,18.02,18.11,63732800,BAC
2015-07-22,14.8888,18.45,18.48,18.03,18.03,110327000,BAC
2015-07-23,14.6709,18.18,18.43,18.08,18.39,103650100,BAC
2015-07-24,14.445,17.9,18.23,17.84,18.18,86364300,BAC
2015-07-27,14.2594,17.67,17.78,17.5,17.66,93231900,BAC
2015-07-28,14.4288,17.88,17.89,17.6,17.79,82166800,BAC
2015-07-29,14.6548,18.16,18.2,17.92,17.95,96388600,BAC
2015-07-30,14.6306,18.13,18.29,18.05,18.2,65667900,BAC
2015-07-31,14.4288,17.88,18.06,17.86,18.03,67176900,BAC
2015-08-03,14.3401,17.77,17.97,17.64,17.91,62376800,BAC
2015-08-04,14.3643,17.8,17.93,17.71,17.79,69741500,BAC
2015-08-05,14.4207,17.87,18.05,17.8,17.93,65228600,BAC
2015-08-06,14.3723,17.81,17.98,17.77,17.91,47594700,BAC
2015-08-07,14.3239,17.75,18.07,17.6,17.92,71020700,BAC
2015-08-10,14.5579,18.04,18.05,17.86,17.87,65791200,BAC
2015-08-11,14.3562,17.79,17.97,17.72,17.85,65868600,BAC
2015-08-12,14.1383,17.52,17.65,17.02,17.62,141600100,BAC
2015-08-13,14.219,17.62,17.69,17.44,17.56,67456200,BAC
2015-08-14,14.2836,17.7,17.7,17.54,17.57,52710300,BAC
2015-08-17,14.3401,17.77,17.81,17.56,17.61,42310000,BAC
2015-08-18,14.2755,17.69,17.9,17.65,17.72,50360700,BAC
2015-08-19,14.0899,17.46,17.69,17.44,17.55,78540500,BAC
2015-08-20,13.4927,16.72,17.2,16.72,17.19,149185400,BAC
2015-08-21,12.9924,16.1,16.66,16.1,16.2,148874300,BAC
2015-08-24,12.3387,15.29,15.98,14.6,15.02,214649500,BAC
2015-08-25,12.3145,15.26,16.2,15.25,16.2,194377000,BAC
2015-08-26,12.9601,16.06,16.06,15.34,15.81,174208500,BAC
2015-08-27,13.2668,16.44,16.45,16.09,16.38,124185400,BAC
2015-08-28,13.2022,16.36,16.44,16.2,16.4,75899300,BAC
