date,adj_close,close,high,low,open,volume,symbol
2015-06-17,73.8905,74.42,75.81,73.31,73.5,7291600,CRM
2015-06-18,75.1714,75.71,76.21,74.6,74.63,4230300,CRM
2015-06-19,74.4664,75.0,75.95,74.96,75.5,5372600,CRM
2015-06-22,74.248,74.78,75.71,74.35,75.5,3112700,CRM
2015-06-23,73.6721,74.2,74.98,73.86,74.86,3142400,CRM
2015-06-24,72.9771,73.5,74.55,72.99,74.1,2763300,CRM
2015-06-25,73.0863,73.61,74.65,73.37,74.32,1958200,CRM
2015-06-26,71.8253,72.34,73.91,72.09,73.75,4089800,CRM
2015-06-29,69.502,70.0,71.87,69.93,71.67,2698200,CRM
2015-06-30,69.1346,69.63,70.78,69.11,70.68,3559900,CRM
2015-07-01,70.0381,70.54,71.04,70.15,70.58,3060700,CRM
2015-07-02,69.919,70.42,71.05,69.98,70.92,1562300,CRM
2015-07-06,68.668,69.16,69.83,68.55,69.77,3586700,CRM
2015-07-07,69.7601,70.26,70.51,68.33,70.18,4937200,CRM
2015-07-08,68.8963,69.39,70.49,69.07,70.03,2988500,CRM
2015-07-09,69.4623,69.96,71.6,69.94,70.5,3297500,CRM
2015-07-10,70.6339,71.14,71.42,70.47,70.97,2252200,CRM
2015-07-13,70.5445,71.05,71.86,71.0,71.59,2446400,CRM
2015-07-14,71.2793,71.79,72.01,71.21,71.21,2024100,CRM
2015-07-15,70.8523,71.36,72.16,71.07,71.75,1722300,CRM
2015-07-16,71.9048,72.42,72.43,71.63,71.91,2774900,CRM
2015-07-17,72.292,72.81,73.5,72.07,72.54,3005700,CRM
2015-07-20,72.2523,72.77,73.19,72.41,72.89,2175900,CRM
2015-07-21,73.3047,73.83,73.92,72.5,72.62,3620500,CRM
2015-07-22,73.3445,73.87,74.42,73.18,73.37,3296400,CRM
2015-07-23,71.6963,72.21,74.52,71.97,74.25,3231600,CRM
2015-07-24,73.3941,73.92,74.19,72.26,72.71,3480300,CRM
2015-07-27,71.9445,72.46,73.89,72.31,73.37,3478400,CRM
2015-07-28,73.265,73.79,73.86,71.75,72.79,3435200,CRM
2015-07-29,73.3544,73.88,74.19,72.33,73.03,2158700,CRM
2015-07-30,72.8381,73.36,73.84,72.34,73.69,2362800,CRM
2015-07-31,72.7785,73.3,74.15,73.01,73.41,2144600,CRM
2015-08-03,71.9246,72.44,73.64,72.06,73.57,2581400,CRM
2015-08-04,71.3785,71.89,72.76,71.8,72.45,2089300,CRM
2015-08-05,72.014,72.53,73.64,72.43,72.57,2108900,CRM
2015-08-06,69.9289,70.43,72.88,70.32,72.78,2195400,CRM
2015-08-07,69.9091,70.41,70.73,69.48,70.45,2226200,CRM
2015-08-10,70.7629,71.27,71.52,70.7,71.13,1814000,CRM
2015-08-11,71.1204,71.63,71.88,70.4,70.68,2406200,CRM
2015-08-12,70.5346,71.04,71.38,69.56,71.1,3135100,CRM
2015-08-13,70.892,71.4,71.93,70.75,71.44,2302900,CRM
2015-08-14,72.4707,72.99,73.27,70.86,71.19,3246900,CRM
2015-08-17,73.5132,74.04,74.14,71.6,72.59,3073000,CRM
2015-08-18,72.0636,72.58,74.05,72.03,73.91,4126500,CRM
2015-08-19,71.5275,72.04,72.94,71.74,72.54,4774900,CRM
2015-08-20,67.3375,67.82,72.0,67.5,71.62,8168000,CRM
2015-08-21,68.658,69.15,71.55,68.28,69.0,13138700,CRM
2015-08-24,64.7063,65.17,68.99,64.16,65.76,9650000,CRM
