date,adj_close,close,high,low,open,volume,symbol
2015-06-17,102.6422,111.49,111.94,110.88,111.2,4732300,DIS
2015-06-18,104.2349,113.22,113.55,111.58,111.83,6929900,DIS
2015-06-19,103.6825,112.62,113.48,112.4,112.83,9587700,DIS
2015-06-22,104.5203,113.53,114.47,113.27,113.4,5906200,DIS
2015-06-23,105.3304,114.41,114.52,113.72,113.93,6003100,DIS
2015-06-24,104.7412,113.77,114.56,113.71,114.3,5636200,DIS
2015-06-25,105.3673,114.45,115.28,114.39,114.62,6213500,DIS
2015-06-26,105.8644,114.99,115.18,114.41,114.97,9509600,DIS
2015-06-29,104.0784,113.05,115.19,113.0,114.16,7618200,DIS
2015-06-30,105.0819,114.14,114.86,113.55,113.93,6946700,DIS
2015-07-01,106.6098,115.13,115.25,114.34,114.95,5435400,DIS
2015-07-02,106.4616,114.97,115.67,114.45,115.38,5549500,DIS
2015-07-06,107.1376,115.7,115.86,114.27,114.47,5880500,DIS
2015-07-07,108.434,117.1,117.19,114.86,116.42,8359900,DIS
2015-07-08,106.6653,115.19,116.68,115.11,116.5,8445200,DIS
2015-07-09,107.045,115.6,117.21,115.51,116.83,7016800,DIS
2015-07-10,107.8228,116.44,117.43,115.67,117.05,7020700,DIS
2015-07-13,109.3137,118.05,118.31,117.25,117.75,7595200,DIS
2015-07-14,109.1285,117.85,118.14,117.7,118.03,5061700,DIS
2015-07-15,109.5452,118.3,118.9,117.85,118.04,4845200,DIS
2015-07-16,110.2582,119.07,119.15,118.54,119.0,6303000,DIS
2015-07-17,110.0637,118.86,118.9,118.03,118.69,5109900,DIS
2015-07-20,110.7304,119.58,119.9,118.89,119.29,6951000,DIS
2015-07-21,110.4804,119.31,119.8,118.83,119.76,4785200,DIS
2015-07-22,110.4989,119.33,119.7,118.93,119.28,4714100,DIS
2015-07-23,110.0081,118.8,119.67,118.57,119.3,3347200,DIS
2015-07-24,110.11,118.91,119.8,118.58,119.35,4320900,DIS
2015-07-27,109.4989,118.25,118.8,117.78,118.63,5179300,DIS
2015-07-28,109.6933,118.46,118.9,117.87,118.68,6447300,DIS
2015-07-29,110.9712,119.84,119.86,118.41,118.85,6083500,DIS
2015-07-30,111.1471,120.03,120.35,119.01,119.71,4430100,DIS
2015-07-31,111.1194,120.0,120.72,119.6,120.12,5767300,DIS
2015-08-03,112.1565,121.12,121.73,120.17,120.88,8426900,DIS
2015-08-04,112.6843,121.69,122.08,120.61,121.5,12624400,DIS
2015-08-05,102.3502,110.53,113.95,109.5,110.83,61011200,DIS
2015-08-06,100.5167,108.55,110.4,104.24,110.4,57175200,DIS
2015-08-07,101.2575,109.35,109.56,107.66,108.75,15791600,DIS
2015-08-10,102.7854,111.0,111.0,109.74,110.0,11617000,DIS
2015-08-11,100.0074,108.0,110.49,107.95,110.34,13574000,DIS
2015-08-12,99.0722,106.99,107.44,105.51,107.0,16923500,DIS
2015-08-13,99.5629,107.52,108.51,106.75,107.21,9754500,DIS
2015-08-14,99.2296,107.16,107.67,106.52,107.61,7104500,DIS
2015-08-17,100.9797,109.05,109.28,106.84,107.3,7954000,DIS
2015-08-18,99.0259,106.94,108.25,106.8,108.04,12021500,DIS
2015-08-19,98.5721,106.45,107.75,105.77,106.58,9484400,DIS
2015-08-20,92.618,100.02,105.0,99.76,104.34,34651300,DIS
2015-08-21,91.5253,98.84,100.63,96.61,97.5,30875700,DIS
2015-08-24,88.3028,95.36,100.0,90.0,93.38,30159200,DIS
2015-08-25,88.7936,95.89,100.09,95.72,99.73,19079400,DIS
2015-08-26,91.8865,99.23,99.49,96.26,98.69,13755900,DIS
2015-08-27,94.6089,102.17,102.62,99.78,101.35,17532200,DIS
2015-08-28,94.8959,102.48,103.34,101.81,102.19,11005200,DIS
2015-08-31,94.3403,101.88,102.46,100.91,102.3,8518200,DIS
2015-09-01,92.1457,99.51,101.34,99.16,99.31,14212600,DIS
2015-09-02,94.3496,101.89,101.94,99.55,100.92,12148200,DIS
2015-09-03,94.4422,101.99,103.03,101.46,102.2,8953300,DIS
2015-09-04,93.4977,100.97,101.82,100.36,100.96,9213800,DIS
2015-09-08,96.3127,104.01,104.15,102.52,102.95,8571500,DIS
2015-09-09,94.3681,101.91,104.95,101.68,104.75,9577500,DIS
2015-09-10,95.007,102.6,103.22,101.33,101.85,9026100,DIS
2015-09-11,96.7479,104.48,104.5,102.2,102.35,9529800,DIS
2015-09-14,96.1368,103.82,104.9,102.99,104.65,6959800,DIS
2015-09-15,95.7756,103.43,103.8,101.83,103.25,9171400,DIS
2015-09-16,96.2664,103.96,104.07,102.75,103.32,6509700,DIS
2015-09-17,96.4886,104.2,105.95,103.75,104.2,7792600,DIS
2015-09-18,95.2293,102.84,104.21,102.39,103.2,13559400,DIS
2015-09-21,95.7571,103.41,103.83,102.46,103.68,7152300,DIS
2015-09-22,94.9052,102.49,102.75,101.48,102.18,8330100,DIS
2015-09-23,94.0533,101.57,102.63,101.38,102.44,5818000,DIS
2015-09-24,93.1736,100.62,101.33,99.24,101.0,10706800,DIS
2015-09-25,92.8773,100.3,101.8,99.58,101.51,7179800,DIS
