date,adj_close,close,high,low,open,volume,symbol
2015-06-17,27.1671,27.33,27.418,27.0905,27.271,24440000,GOOGL
2015-06-18,27.6432,27.809,27.8625,27.4,27.4,41192000,GOOGL
2015-06-19,27.7098,27.876,27.8955,27.613,27.826,59290000,GOOGL
2015-06-22,27.8172,27.984,28.2805,27.9455,27.9705,34752000,GOOGL
2015-06-23,28.0016,28.1695,28.245,27.8575,27.9895,31396000,GOOGL
2015-06-24,27.762,27.9285,28.132,27.8405,28.124,28924000,GOOGL
2015-06-25,27.7312,27.8975,28.157,27.873,28.015,26684000,GOOGL
2015-06-26,27.4881,27.653,28.0,27.5925,27.9855,43676000,GOOGL
2015-06-29,26.9012,27.0625,27.545,27.012,27.3375,37756000,GOOGL
2015-06-30,26.841,27.002,27.295,26.977,27.2545,34510000,GOOGL
2015-07-01,27.0031,27.165,27.2905,26.988,27.183,30760000,GOOGL
2015-07-02,27.2039,27.367,27.4,27.1785,27.237,28124000,GOOGL
2015-07-06,27.1184,27.281,27.429,27.105,27.1125,25614000,GOOGL
2015-07-07,27.3375,27.5015,27.55,26.9925,27.3715,33578000,GOOGL
2015-07-08,26.9235,27.085,27.414,27.06,27.28,27662000,GOOGL
2015-07-09,27.0702,27.2325,27.444,27.231,27.4325,29766000,GOOGL
2015-07-10,27.6397,27.8055,27.9645,27.6,27.6855,43436000,GOOGL
2015-07-13,28.4161,28.5865,28.6425,27.935,27.9755,41792000,GOOGL
2015-07-14,29.0349,29.209,29.4855,28.7085,28.725,74832000,GOOGL
2015-07-15,29.0239,29.198,29.4345,29.0105,29.187,41466000,GOOGL
2015-07-16,29.9096,30.089,30.225,29.396,29.475,112642000,GOOGL
2015-07-17,34.7725,34.981,35.15,33.9,34.0,257162000,GOOGL
2015-07-20,34.4355,34.642,34.89,34.0885,34.449,102436000,GOOGL
2015-07-21,34.5602,34.7675,35.28,34.2075,34.244,75604000,GOOGL
2015-07-22,34.5478,34.755,35.6665,34.581,34.701,83100000,GOOGL
2015-07-23,33.5354,33.7365,34.8035,33.5795,34.5925,76232000,GOOGL
2015-07-24,32.5433,32.7385,33.8895,32.659,33.8385,82622000,GOOGL
2015-07-27,32.7173,32.9135,33.3535,32.5775,32.5785,58382000,GOOGL
2015-07-28,32.7864,32.983,33.205,32.6705,33.088,34364000,GOOGL
2015-07-29,32.8743,33.0715,33.1665,32.642,33.113,36756000,GOOGL
2015-07-30,33.0299,33.228,33.4025,32.5845,32.872,39606000,GOOGL
2015-07-31,32.679,32.875,33.25,32.86,33.235,34922000,GOOGL
2015-08-03,33.0379,33.236,33.3335,32.883,32.883,31348000,GOOGL
2015-08-04,32.8669,33.064,33.4,33.0255,33.217,26188000,GOOGL
2015-08-05,33.4638,33.6645,33.9955,33.279,33.2875,36448000,GOOGL
2015-08-06,33.3077,33.5075,33.7375,33.0365,33.6995,40660000,GOOGL
2015-08-07,33.0215,33.2195,33.44,32.9435,33.389,27544000,GOOGL
2015-08-10,32.9593,33.157,33.581,33.0115,33.3545,34458000,GOOGL
2015-08-11,34.3092,34.515,35.2,34.216,34.979,109880000,GOOGL
2015-08-12,34.3674,34.5735,34.8,34.0255,34.7245,58498000,GOOGL
2015-08-13,34.1209,34.3255,34.7015,34.109,34.46,36354000,GOOGL
2015-08-14,34.263,34.4685,34.613,34.145,34.202,27598000,GOOGL
2015-08-17,34.4986,34.7055,34.737,34.153,34.402,24680000,GOOGL
2015-08-18,34.2312,34.4365,34.788,34.266,34.5535,27710000,GOOGL
2015-08-19,34.4951,34.702,35.01,34.34,34.5055,50194000,GOOGL
2015-08-20,33.7715,33.974,34.808,33.764,34.455,57798000,GOOGL
2015-08-21,32.0095,32.2015,33.6445,32.155,33.552,91880000,GOOGL
2015-08-24,30.7213,30.9055,31.384,29.6545,30.03,129788000,GOOGL
2015-08-25,30.4409,30.6235,32.35,30.5835,32.3235,71430000,GOOGL
2015-08-26,32.7903,32.987,33.124,31.5185,32.155,87740000,GOOGL
2015-08-27,33.1989,33.398,33.699,32.555,33.5995,58974000,GOOGL
2015-08-28,32.7879,32.9845,33.35,32.6875,33.288,38836000,GOOGL
2015-08-31,32.1979,32.391,33.2205,32.3175,32.717,38936000,GOOGL
2015-09-01,31.2903,31.478,32.222,31.253,31.6905,51458000,GOOGL
2015-09-02,32.0533,32.2455,32.253,31.532,31.9,37630000,GOOGL
2015-09-03,31.6626,31.8525,32.5625,31.6905,32.3965,34572000,GOOGL
2015-09-04,31.2605,31.448,31.725,31.325,31.485,40478000,GOOGL
2015-09-08,32.0021,32.194,32.252,31.645,32.05,39092000,GOOGL
2015-09-09,31.9787,32.1705,32.868,32.045,32.594,40978000,GOOGL
2015-09-10,32.3599,32.554,32.745,32.085,32.195,27850000,GOOGL
2015-09-11,32.5697,32.765,32.7655,32.3705,32.5105,34892000,GOOGL
2015-09-14,32.429,32.6235,32.796,32.475,32.7815,29942000,GOOGL
2015-09-15,33.0553,33.2535,33.4425,32.667,32.8355,35546000,GOOGL
2015-09-16,33.0776,33.276,33.4035,33.11,33.2775,26252000,GOOGL
2015-09-17,33.3833,33.5835,34.0995,33.25,33.3745,47752000,GOOGL
2015-09-18,32.849,33.046,33.492,33.0015,33.253,72544000,GOOGL
2015-09-21,33.1502,33.349,33.45,32.9,33.2755,39094000,GOOGL
2015-09-22,32.4653,32.66,32.941,32.2515,32.8735,54362000,GOOGL
2015-09-23,32.4698,32.6645,33.014,32.5365,32.645,29160000,GOOGL
2015-09-24,32.5503,32.7455,32.8385,32.1085,32.4485,38692000,GOOGL
2015-09-25,31.8167,32.0075,32.929,31.983,32.929,48480000,GOOGL
2015-09-28,31.0264,31.2125,32.1425,30.892,31.9525,47646000,GOOGL
2015-09-29,30.9449,31.1305,31.734,30.9015,31.275,42130000,GOOGL
2015-09-30,31.7282,31.9185,31.9655,31.4575,31.5915,52954000,GOOGL
2015-10-01,31.9086,32.1,32.192,31.556,31.897,42506000,GOOGL
2015-10-02,32.6537,32.8495,32.85,31.675,31.9005,48788000,GOOGL
2015-10-05,33.3838,33.584,33.6515,32.7935,33.08,37960000,GOOGL
2015-10-06,33.3818,33.582,33.94,33.154,33.4675,42774000,GOOGL
2015-10-07,33.3003,33.5,33.937,32.9055,33.87,44354000,GOOGL
2015-10-08,33.1512,33.35,33.5945,32.7245,33.4725,39308000,GOOGL
2015-10-09,33.3619,33.562,33.7045,33.118,33.3745,32124000,GOOGL
2015-10-12,33.6199,33.8215,33.899,33.362,33.4595,26684000,GOOGL
2015-10-13,33.9549,34.1585,34.423,33.6555,33.713,42446000,GOOGL
2015-10-14,33.8177,34.0205,34.502,33.945,34.1865,31292000,GOOGL
2015-10-15,34.4444,34.651,34.708,34.2195,34.2625,47156000,GOOGL
2015-10-16,34.5587,34.766,34.811,34.455,34.77,36316000,GOOGL
2015-10-19,34.7889,34.9975,35.012,34.6105,34.7,30172000,GOOGL
2015-10-20,33.7973,34.0,34.9,33.684,34.8945,52434000,GOOGL
2015-10-21,33.3898,33.59,34.245,33.535,34.1605,31952000,GOOGL
2015-10-22,33.854,34.057,34.4025,33.585,33.772,88632000,GOOGL
2015-10-23,35.7521,35.9665,37.625,35.897,37.503,126726000,GOOGL
2015-10-26,36.3381,36.556,36.7475,36.001,36.001,48776000,GOOGL
2015-10-27,36.4226,36.641,36.798,36.207,36.3285,38778000,GOOGL
2015-10-28,36.6263,36.846,36.8685,36.3635,36.65,39604000,GOOGL
2015-10-29,37.0205,37.2425,37.3395,36.758,36.8315,36520000,GOOGL
2015-10-30,36.6497,36.8695,37.3155,36.8265,37.278,39984000,GOOGL
2015-11-02,37.1641,37.387,37.409,36.5725,36.7265,39914000,GOOGL
2015-11-03,37.2178,37.441,37.585,37.058,37.2715,36306000,GOOGL
2015-11-04,37.5404,37.7655,37.995,37.46,37.495,41840000,GOOGL
2015-11-05,37.8068,38.0335,38.3175,37.8735,37.9405,45486000,GOOGL
2015-11-06,37.853,38.08,38.151,37.7515,37.9695,33544000,GOOGL
2015-11-09,37.5135,37.7385,38.165,37.4555,37.926,35538000,GOOGL
2015-11-10,37.687,37.913,38.03,37.4205,37.674,29798000,GOOGL
2015-11-11,38.0344,38.2625,38.454,37.9875,38.119,41866000,GOOGL
2015-11-12,37.601,37.8265,38.29,37.793,38.009,35452000,GOOGL
2015-11-13,36.7829,37.0035,37.7665,36.9735,37.702,48188000,GOOGL
2015-11-16,37.2973,37.521,37.5855,36.7165,37.0105,50704000,GOOGL
2015-11-17,37.0766,37.299,37.7475,37.2025,37.6235,38864000,GOOGL
2015-11-18,37.774,38.0005,38.055,37.3695,37.4785,36266000,GOOGL
2015-11-19,37.7705,37.997,38.1615,37.8615,37.989,28078000,GOOGL
2015-11-20,38.6184,38.85,38.966,38.205,38.465,55478000,GOOGL
2015-11-23,38.6035,38.835,39.145,38.6755,38.8735,34648000,GOOGL
2015-11-24,38.2521,38.4815,38.7995,37.9055,38.648,47880000,GOOGL
2015-11-25,38.2337,38.463,38.65,38.3265,38.5845,23612000,GOOGL
2015-11-27,38.3684,38.5985,38.7,38.35,38.458,14434000,GOOGL
2015-11-30,37.9151,38.1425,38.7515,38.056,38.5935,33586000,GOOGL
2015-12-01,38.9559,39.1895,39.25,38.2975,38.347,40398000,GOOGL
2015-12-02,38.6606,38.8925,39.6525,38.8215,39.2625,46876000,GOOGL
2015-12-03,38.181,38.41,39.224,38.1225,39.028,41950000,GOOGL
2015-12-04,38.7282,38.9605,39.121,38.2755,38.4855,49800000,GOOGL
2015-12-07,38.4191,38.6495,39.05,38.336,39.003,36626000,GOOGL
2015-12-08,38.5259,38.757,38.9325,38.126,38.225,31082000,GOOGL
2015-12-09,37.9002,38.1275,38.8045,37.6005,38.555,46550000,GOOGL
2015-12-10,37.7754,38.002,38.3035,37.75,38.1795,32458000,GOOGL
2015-12-11,37.2973,37.521,37.872,37.4325,37.45,43184000,GOOGL
2015-12-14,37.8997,38.127,38.2075,36.813,37.563,53864000,GOOGL
2015-12-15,37.7779,38.0045,38.7375,37.9,38.3895,49386000,GOOGL
2015-12-16,38.598,38.8295,39.075,37.8525,38.3285,53120000,GOOGL
2015-12-17,38.262,38.4915,39.0795,38.465,39.058,36510000,GOOGL
2015-12-18,37.6169,37.8425,38.707,37.8295,38.3615,67794000,GOOGL
2015-12-21,37.8132,38.04,38.3175,37.7075,38.1525,34848000,GOOGL
2015-12-22,38.1278,38.3565,38.517,38.06,38.2135,36338000,GOOGL
2015-12-23,38.1964,38.4255,38.595,37.8825,38.5345,30594000,GOOGL
2015-12-24,38.0637,38.292,38.46,38.2195,38.426,10412000,GOOGL
2015-12-28,38.8788,39.112,39.141,38.3865,38.5,31156000,GOOGL
2015-12-29,39.4613,39.698,39.9345,39.31,39.3495,38430000,GOOGL
2015-12-30,39.2794,39.515,39.823,39.36,39.698,28566000,GOOGL
2015-12-31,38.6686,38.9005,39.4165,38.866,39.391,32752000,GOOGL
2016-01-04,37.7456,37.972,38.11,37.377,38.11,67382000,GOOGL
2016-01-05,37.8495,38.0765,38.46,37.7825,38.205,45216000,GOOGL
2016-01-06,37.7402,37.9665,38.2865,37.4,37.5185,48206000,GOOGL
2016-01-07,36.8291,37.05,37.7655,36.764,37.3245,63132000,GOOGL
2016-01-08,36.3276,36.5455,37.506,36.446,37.39,47506000,GOOGL
2016-01-11,36.435,36.6535,36.754,35.978,36.5975,50896000,GOOGL
2016-01-12,37.0448,37.267,37.417,36.8215,37.0375,46816000,GOOGL
2016-01-13,35.764,35.9785,37.65,35.839,37.467,51728000,GOOGL
2016-01-14,36.3515,36.5695,36.9945,35.25,36.222,55558000,GOOGL
2016-01-15,35.3127,35.5245,36.208,35.0755,35.4995,76676000,GOOGL
2016-01-19,35.7397,35.954,36.2675,35.4925,36.0075,48724000,GOOGL
2016-01-20,35.7138,35.928,36.3475,34.389,35.295,82440000,GOOGL
2016-01-21,36.1169,36.3335,36.8835,35.5555,36.0085,51938000,GOOGL
2016-01-22,37.0508,37.273,37.428,37.025,37.1,47146000,GOOGL
2016-01-25,36.4623,36.681,37.623,36.625,37.192,45340000,GOOGL
2016-01-26,36.4708,36.6895,36.973,36.3485,36.7605,30940000,GOOGL
2016-01-27,35.6651,35.879,36.7945,35.6725,36.7945,42428000,GOOGL
2016-01-28,37.1919,37.415,37.558,36.53,36.9095,62104000,GOOGL
2016-01-29,37.8406,38.0675,38.2555,37.21,37.448,75808000,GOOGL
2016-02-01,38.3088,38.5385,38.8795,38.069,38.563,111522000,GOOGL
2016-02-02,38.8127,39.0455,40.5175,39.03,40.025,135846000,GOOGL
2016-02-03,37.2456,37.469,39.5715,36.813,39.314,131114000,GOOGL
2016-02-04,36.2839,36.5015,37.262,36.13,37.2295,104922000,GOOGL
2016-02-05,34.9782,35.188,36.336,35.007,36.275,109556000,GOOGL
2016-02-08,34.9981,35.208,35.226,34.1005,34.384,89410000,GOOGL
2016-02-09,34.842,35.051,36.048,34.425,34.6475,84300000,GOOGL
2016-02-10,35.1318,35.3425,36.161,35.2695,35.5895,60314000,GOOGL
2016-02-11,35.1075,35.318,35.616,34.5595,34.817,65004000,GOOGL
2016-02-12,35.1338,35.3445,35.8,35.079,35.6105,46538000,GOOGL
2016-02-16,35.6681,35.882,36.144,35.509,35.9325,43444000,GOOGL
