date,adj_close,close,high,low,open,volume,symbol
2015-06-17,87.2853,110.47,111.29,109.96,110.73,5722200,HD
2015-06-18,88.3757,111.85,112.3,110.76,111.06,7222600,HD
2015-06-19,88.834,112.43,113.3,111.44,111.64,9255100,HD
2015-06-22,89.3397,113.07,113.62,112.78,112.93,3190200,HD
2015-06-23,89.4266,113.18,113.59,112.93,113.24,3075900,HD
2015-06-24,88.7708,112.35,113.68,112.35,112.94,3716100,HD
2015-06-25,88.6839,112.24,113.71,112.24,113.24,4466300,HD
2015-06-26,88.9683,112.6,113.34,112.23,112.77,4208500,HD
2015-06-29,87.3407,110.54,112.32,110.46,111.56,5187400,HD
2015-06-30,87.8068,111.13,111.76,110.59,111.15,5938800,HD
2015-07-01,88.5496,112.07,112.81,111.47,112.45,4216200,HD
2015-07-02,88.0913,111.49,112.75,111.1,112.58,3845000,HD
2015-07-06,87.9569,111.32,111.93,110.17,110.27,3864700,HD
2015-07-07,88.8103,112.4,112.64,110.7,111.72,5515900,HD
2015-07-08,87.7041,111.0,112.46,110.8,111.72,3794100,HD
2015-07-09,88.0044,111.38,112.59,111.2,112.32,3643700,HD
2015-07-10,89.3634,113.1,113.48,112.09,112.67,4631400,HD
2015-07-13,90.7856,114.9,115.02,114.07,114.21,4171900,HD
2015-07-14,91.1491,115.36,115.53,114.39,114.5,3688900,HD
2015-07-15,91.3229,115.58,116.15,115.07,115.42,3364600,HD
2015-07-16,90.6513,114.73,115.91,113.83,115.87,5234800,HD
2015-07-17,90.4459,114.47,115.0,114.0,114.49,5497600,HD
2015-07-20,89.6083,113.41,114.11,112.17,112.25,6107500,HD
2015-07-21,89.9639,113.86,113.97,112.68,113.41,4660600,HD
2015-07-22,90.7856,114.9,115.08,113.8,113.96,5485200,HD
2015-07-23,90.5407,114.59,116.11,114.43,115.21,4308900,HD
2015-07-24,89.7505,113.59,115.23,113.43,114.74,4427800,HD
2015-07-27,89.3397,113.07,113.89,112.71,113.37,4468200,HD
2015-07-28,90.7382,114.84,115.03,113.18,113.76,4176800,HD
2015-07-29,91.9471,116.37,116.76,115.11,115.16,5104000,HD
2015-07-30,92.0182,116.46,116.74,115.35,115.94,3291100,HD
2015-07-31,92.4686,117.03,118.13,116.37,116.98,4301200,HD
2015-08-03,92.358,116.89,117.7,116.16,117.62,3645000,HD
2015-08-04,92.8637,117.53,117.82,116.25,116.63,3008200,HD
2015-08-05,93.235,118.0,118.53,117.1,118.38,4299100,HD
2015-08-06,92.0972,116.56,118.5,116.07,118.39,4768900,HD
2015-08-07,92.3896,116.93,117.16,115.78,116.7,3986100,HD
2015-08-10,92.919,117.6,118.34,117.36,117.53,3408900,HD
2015-08-11,92.9901,117.69,118.14,116.76,117.02,4080000,HD
2015-08-12,92.9901,117.69,117.88,115.7,117.13,4575800,HD
2015-08-13,94.0409,119.02,120.14,117.79,118.0,6255500,HD
2015-08-14,94.6178,119.75,119.89,118.46,119.3,5135500,HD
2015-08-17,94.5782,119.7,120.75,118.73,119.1,7255600,HD
2015-08-18,97.0277,122.8,123.8,121.15,121.83,11021900,HD
2015-08-19,96.996,122.76,123.79,122.13,122.67,6490300,HD
2015-08-20,95.2419,120.54,122.53,120.54,121.98,5555500,HD
2015-08-21,91.7812,116.16,120.36,116.15,119.54,10190700,HD
2015-08-24,88.9209,112.54,115.88,92.17,110.05,13983100,HD
2015-08-25,87.6804,110.97,117.0,110.89,117.0,10221100,HD
2015-08-26,91.5995,115.93,116.03,112.08,114.06,9313200,HD
2015-08-27,92.9664,117.66,118.09,115.33,117.5,7579100,HD
2015-08-28,92.8557,117.52,118.46,116.92,117.43,5016000,HD
2015-08-31,92.0182,116.46,117.49,115.93,117.01,5444500,HD
2015-09-01,89.7946,113.07,114.75,112.56,113.99,7392900,HD
2015-09-02,92.5027,116.48,116.48,114.32,114.83,6487400,HD
2015-09-03,92.598,116.6,118.08,116.18,117.03,5302900,HD
2015-09-04,90.8667,114.42,115.69,113.49,114.68,5752000,HD
2015-09-08,92.463,116.43,116.64,114.73,115.69,5775800,HD
2015-09-09,90.5094,113.97,117.47,113.7,117.11,5316400,HD
2015-09-10,90.9223,114.49,115.41,113.69,114.0,5259100,HD
2015-09-11,91.6768,115.44,115.46,113.7,113.97,4472800,HD
2015-09-14,91.1129,114.73,115.68,114.42,115.5,4248700,HD
2015-09-15,92.2644,116.18,116.63,113.9,114.78,4994000,HD
2015-09-16,93.5668,117.82,118.03,115.97,116.08,5285100,HD
2015-09-17,93.6383,117.91,119.82,117.27,118.33,6607100,HD
2015-09-18,91.4226,115.12,117.2,114.98,116.51,11366700,HD
2015-09-21,92.5821,116.58,117.11,115.27,115.96,5201100,HD
2015-09-22,91.9626,115.8,116.39,114.89,115.4,4631600,HD
2015-09-23,92.2565,116.17,116.55,115.66,115.85,4084900,HD
