date,adj_close,close,high,low,open,volume,symbol
2015-06-17,74.748,98.73,99.12,98.15,98.38,6155800,JNJ
2015-06-18,75.9821,100.36,100.55,98.71,98.86,8815800,JNJ
2015-06-19,75.6035,99.86,100.2,99.78,99.88,11653600,JNJ
2015-06-22,75.7776,100.09,100.84,99.99,100.6,5055900,JNJ
2015-06-23,75.5429,99.78,100.36,99.48,100.1,6046600,JNJ
2015-06-24,75.2022,99.33,99.81,99.07,99.51,7254700,JNJ
2015-06-25,75.0433,99.12,99.98,99.11,99.5,6581100,JNJ
2015-06-26,75.437,99.64,100.13,99.25,99.43,9041100,JNJ
2015-06-29,73.953,97.68,99.35,97.62,98.98,11150900,JNJ
2015-06-30,73.7865,97.46,98.45,97.3,98.43,8967900,JNJ
2015-07-01,74.5512,98.47,98.68,97.64,98.3,6726700,JNJ
2015-07-02,74.5284,98.44,99.02,98.32,98.85,6091900,JNJ
2015-07-06,74.3467,98.2,98.5,96.64,97.71,6817800,JNJ
2015-07-07,74.8918,98.92,98.98,97.52,98.63,7122600,JNJ
2015-07-08,74.0212,97.77,98.59,97.69,98.42,6845500,JNJ
2015-07-09,74.4981,98.4,99.54,98.4,99.05,7316400,JNJ
2015-07-10,75.3537,99.53,99.89,99.09,99.78,6969300,JNJ
2015-07-13,75.9139,100.27,100.48,99.87,100.05,6986300,JNJ
2015-07-14,75.5429,99.78,99.88,98.55,99.26,9890600,JNJ
2015-07-15,76.0275,100.42,100.94,99.63,99.76,7990300,JNJ
2015-07-16,76.5499,101.11,101.36,100.78,100.95,5775000,JNJ
2015-07-17,75.77,100.08,100.91,99.96,100.89,8054200,JNJ
2015-07-20,75.9896,100.37,100.65,100.1,100.5,5016200,JNJ
2015-07-21,75.9669,100.34,100.81,100.07,100.6,5891600,JNJ
2015-07-22,75.8458,100.18,100.71,99.73,100.41,6721900,JNJ
2015-07-23,75.8609,100.2,100.6,100.0,100.5,5016100,JNJ
2015-07-24,75.066,99.15,99.95,99.05,99.75,6524200,JNJ
2015-07-27,74.4073,98.28,98.99,97.92,98.97,8734000,JNJ
2015-07-28,74.9675,99.02,99.23,98.42,98.89,7757500,JNJ
2015-07-29,75.5051,99.73,100.05,99.05,99.26,7853500,JNJ
2015-07-30,75.5884,99.84,100.0,99.38,99.8,5517400,JNJ
2015-07-31,75.8685,100.21,100.98,99.96,100.34,6216800,JNJ
2015-08-03,75.7246,100.02,100.21,99.23,100.0,6172500,JNJ
2015-08-04,75.5581,99.8,100.5,99.65,100.41,6005300,JNJ
2015-08-05,76.1032,100.52,101.0,100.35,100.57,4571300,JNJ
2015-08-06,75.0054,99.07,100.6,99.01,100.49,6988000,JNJ
2015-08-07,74.8389,98.85,99.07,98.16,99.02,6027900,JNJ
2015-08-10,75.5505,99.79,100.06,99.45,99.57,6133500,JNJ
2015-08-11,74.96,99.01,99.34,98.77,99.05,6682600,JNJ
2015-08-12,74.7328,98.71,98.73,97.41,98.4,7462400,JNJ
2015-08-13,74.5587,98.48,98.98,98.15,98.74,5048000,JNJ
2015-08-14,74.8085,98.81,98.83,97.87,98.33,5177300,JNJ
2015-08-17,75.6111,99.87,99.88,98.06,98.44,6901800,JNJ
2015-08-18,75.2325,99.37,99.68,99.02,99.24,7618800,JNJ
2015-08-19,75.1871,99.31,99.99,98.78,99.18,7642400,JNJ
2015-08-20,74.7934,98.79,100.12,98.79,98.95,10620400,JNJ
2015-08-21,72.9015,95.56,98.52,95.51,97.22,16141500,JNJ
