date,adj_close,close,high,low,open,volume,symbol
2020-06-15,88.104,101.25,101.43,95.87,96.42,22153600,JPM
2020-06-16,88.8088,102.06,105.68,99.31,105.37,22193600,JPM
2020-06-17,86.5638,99.48,102.54,99.21,102.53,15639800,JPM
2020-06-18,86.0939,98.94,100.52,98.13,98.67,16591900,JPM
2020-06-19,85.1106,97.81,100.6,96.73,100.53,40371200,JPM
2020-06-22,84.1883,96.75,97.95,96.54,97.25,16216900,JPM
2020-06-23,85.215,97.93,99.97,97.85,98.97,15381400,JPM
2020-06-24,82.3696,94.66,96.84,94.31,96.75,22919800,JPM
2020-06-25,85.2412,97.96,98.21,94.26,94.35,25743600,JPM
2020-06-26,80.5684,92.59,95.37,92.0,95.11,41896300,JPM
2020-06-29,80.9251,93.0,94.49,92.18,93.4,18499700,JPM
2020-06-30,81.8475,94.06,94.66,92.57,92.83,19137000,JPM
2020-07-01,81.1514,93.26,95.71,93.03,94.89,18755700,JPM
2020-07-02,81.415,92.66,94.96,91.93,94.74,27845600,JPM
2020-07-06,83.471,95.0,95.2,93.48,94.43,18625300,JPM
2020-07-07,81.1162,92.32,94.1,92.0,93.82,25757200,JPM
2020-07-08,81.9773,93.3,93.34,91.8,92.29,18762200,JPM
2020-07-09,80.2025,91.28,94.12,90.78,93.52,25600800,JPM
2020-07-10,84.5869,96.27,96.84,91.87,92.0,28954200,JPM
2020-07-13,85.7994,97.65,99.27,96.23,98.73,32079200,JPM
2020-07-14,86.2915,98.21,99.95,96.64,98.37,42731700,JPM
2020-07-15,87.627,99.73,101.29,98.65,100.89,22508400,JPM
2020-07-16,87.873,100.01,101.22,98.55,98.78,16886900,JPM
2020-07-17,86.2475,98.16,100.08,98.14,100.0,16137700,JPM
2020-07-20,85.4919,97.3,98.39,97.26,97.43,14458100,JPM
2020-07-21,87.3458,99.41,100.05,97.64,97.71,17798100,JPM
2020-07-22,86.7132,98.69,100.13,97.53,99.65,14271200,JPM
2020-07-23,86.968,98.98,99.35,97.97,98.5,12870200,JPM
2020-07-24,86.353,98.28,99.8,97.94,99.6,12744200,JPM
2020-07-27,85.1404,96.9,97.63,96.17,97.51,11959100,JPM
2020-07-28,85.5095,97.32,97.89,96.5,96.5,11754300,JPM
2020-07-29,87.5831,99.68,99.71,97.0,97.07,12743500,JPM
2020-07-30,85.2459,97.02,97.74,96.05,97.54,14834800,JPM
2020-07-31,84.912,96.64,96.93,95.25,96.48,14535000,JPM
2020-08-03,84.4375,96.1,97.57,95.85,97.02,12962800,JPM
2020-08-04,83.9543,95.55,95.95,95.03,95.91,13366200,JPM
2020-08-05,85.4128,97.21,98.47,95.72,95.87,15260900,JPM
2020-08-06,85.4392,97.24,98.1,96.54,97.58,10482100,JPM
2020-08-07,87.3195,99.38,99.49,96.56,96.93,14743700,JPM
2020-08-10,88.4266,100.64,102.04,100.03,100.11,14989900,JPM
2020-08-11,91.2206,103.82,106.16,103.51,103.86,31518600,JPM
2020-08-12,90.4474,102.94,106.43,101.71,106.16,19240800,JPM
2020-08-13,89.9466,102.37,103.36,101.64,102.0,13598600,JPM
2020-08-14,89.9818,102.41,103.31,101.42,101.5,12134400,JPM
2020-08-17,87.6094,99.71,102.0,99.53,101.5,14988000,JPM
2020-08-18,86.3881,98.32,99.91,98.12,99.91,13246500,JPM
2020-08-19,86.5902,98.55,100.59,98.34,98.92,13533000,JPM
2020-08-20,85.5534,97.37,98.03,96.8,97.26,13672600,JPM
2020-08-21,85.5095,97.32,98.57,96.94,97.27,12228300,JPM
2020-08-24,87.9169,100.06,100.21,97.42,98.45,17898300,JPM
2020-08-25,88.3036,100.5,101.98,99.8,101.27,13648900,JPM
2020-08-26,87.0647,99.09,100.27,99.05,99.94,12052400,JPM
2020-08-27,89.929,102.35,102.65,99.0,99.0,22163900,JPM
2020-08-28,90.2981,102.77,103.25,101.81,103.14,13756700,JPM
2020-08-31,88.0312,100.19,102.18,100.02,102.12,14219400,JPM
2020-09-01,87.9872,100.14,100.87,99.04,99.55,11595600,JPM
2020-09-02,89.314,101.65,101.94,99.56,99.95,14475700,JPM
2020-09-03,89.0328,101.33,104.99,100.64,103.32,23281200,JPM
2020-09-04,90.9571,103.52,105.21,101.37,104.05,26325500,JPM
2020-09-08,87.794,99.92,103.57,99.48,102.98,22108600,JPM
2020-09-09,88.6287,100.87,101.69,99.56,100.8,13434000,JPM
2020-09-10,87.7149,99.83,102.42,99.64,101.4,15922800,JPM
2020-09-11,88.8044,101.07,101.36,99.59,99.97,13784300,JPM
2020-09-14,90.0345,102.47,103.46,101.37,101.51,19017400,JPM
2020-09-15,87.2316,99.28,102.85,99.14,102.73,23683000,JPM
2020-09-16,87.6007,99.7,101.13,98.76,99.43,19270600,JPM
2020-09-17,86.599,98.56,99.34,97.71,98.7,18290100,JPM
2020-09-18,86.4145,98.35,99.49,97.44,97.89,20121600,JPM
2020-09-21,83.7434,95.31,96.05,93.82,95.2,28378800,JPM
2020-09-22,82.8296,94.27,95.66,93.67,94.96,19257000,JPM
2020-09-23,81.4853,92.74,95.35,92.66,94.78,19952700,JPM
2020-09-24,81.415,92.66,94.3,91.38,92.32,18366500,JPM
2020-09-25,82.1267,93.47,93.72,91.87,92.05,13293100,JPM
2020-09-28,84.4902,96.16,96.93,94.35,95.06,20894100,JPM
2020-09-29,83.7785,95.35,96.03,94.33,96.03,12848200,JPM
2020-09-30,84.5869,96.27,97.2,95.26,95.35,16400600,JPM
2020-10-01,85.202,96.97,97.77,96.03,97.12,15778700,JPM
2020-10-02,86.0103,97.89,98.59,95.09,95.25,15149600,JPM
2020-10-05,87.8282,99.04,99.25,97.53,98.32,13871900,JPM
2020-10-06,86.9237,98.02,100.86,97.51,100.07,19220400,JPM
2020-10-07,88.4401,99.73,100.35,98.67,98.96,16358500,JPM
2020-10-08,90.2581,101.78,101.92,99.9,100.51,15659000,JPM
2020-10-09,89.7437,101.2,102.11,100.11,102.0,13689100,JPM
2020-10-12,90.8433,102.44,103.0,100.85,101.1,16058000,JPM
2020-10-13,89.3713,100.78,103.22,100.26,103.0,21697300,JPM
2020-10-14,88.8747,100.22,101.93,100.1,101.03,15204100,JPM
2020-10-15,90.2048,101.72,101.78,99.04,99.1,17171200,JPM
2020-10-16,90.0186,101.51,102.33,100.72,101.41,13275000,JPM
2020-10-19,88.5022,99.8,101.87,99.56,101.6,11725700,JPM
2020-10-20,89.0077,100.37,101.77,100.12,100.31,11257100,JPM
2020-10-21,88.1209,99.37,100.99,99.33,100.36,10730500,JPM
2020-10-22,91.2335,102.88,103.24,99.31,99.32,14837200,JPM
2020-10-23,92.0582,103.81,104.45,102.93,103.5,15087600,JPM
2020-10-26,89.7792,101.24,102.7,100.25,102.65,12410700,JPM
2020-10-27,88.0854,99.33,100.92,99.16,100.51,10391700,JPM
2020-10-28,85.6113,96.54,98.3,96.07,97.5,16389500,JPM
2020-10-29,86.1699,97.17,97.98,95.24,96.12,14208800,JPM
2020-10-30,86.9414,98.04,98.42,96.23,97.91,15194500,JPM
2020-11-02,88.9013,100.25,100.88,97.86,99.39,15011600,JPM
2020-11-03,91.7035,103.41,104.74,102.69,103.02,17482600,JPM
2020-11-04,88.9013,100.25,102.07,98.93,101.0,18886500,JPM
2020-11-05,92.5371,104.35,105.1,101.0,101.06,17837400,JPM
2020-11-06,91.3045,102.96,105.1,102.39,105.03,12552800,JPM
2020-11-09,103.6664,116.9,118.9,110.35,113.16,47792400,JPM
2020-11-10,103.3294,116.52,117.45,114.69,117.35,20539300,JPM
2020-11-11,101.7864,114.78,116.96,113.96,116.89,14443400,JPM
2020-11-12,100.536,113.37,113.96,112.06,112.53,22063000,JPM
2020-11-13,101.1656,114.08,114.86,113.57,114.7,11847900,JPM
2020-11-16,104.0211,117.3,118.61,115.73,117.79,19858600,JPM
2020-11-17,102.9658,116.11,116.44,114.58,115.39,14553200,JPM
2020-11-18,102.2032,115.25,118.61,115.2,117.34,12571200,JPM
2020-11-19,102.4781,115.56,115.82,113.56,114.18,10202500,JPM
2020-11-20,101.6002,114.57,115.65,114.09,114.43,12718900,JPM
2020-11-23,104.5266,117.87,118.17,115.57,116.05,13209200,JPM
2020-11-24,109.3596,123.32,123.5,119.71,120.07,20121600,JPM
2020-11-25,108.2157,122.03,122.38,120.47,121.37,11715600,JPM
2020-11-27,107.4973,121.22,122.35,121.08,122.0,5983600,JPM
2020-11-30,104.5355,117.88,120.72,117.77,120.0,14411800,JPM
2020-12-01,106.1849,119.74,121.58,119.63,120.34,12668900,JPM
2020-12-02,108.2245,122.04,122.31,119.27,119.7,10811300,JPM
2020-12-03,107.5151,121.24,121.89,120.36,121.85,12904400,JPM
2020-12-04,108.4906,122.34,123.29,121.69,122.48,13583700,JPM
2020-12-07,108.0826,121.88,122.17,120.21,121.15,9724300,JPM
2020-12-08,108.1891,122.0,122.33,120.76,121.04,9592100,JPM
2020-12-09,107.3466,121.05,123.3,120.44,123.17,13073900,JPM
2020-12-10,106.6549,120.27,120.78,119.56,119.99,13668400,JPM
2020-12-11,106.0253,119.56,120.02,118.37,118.94,9981600,JPM
2020-12-14,104.9079,118.3,121.42,118.11,121.34,12112400,JPM
2020-12-15,106.6992,120.32,120.9,118.62,119.29,12590200,JPM
2020-12-16,107.0096,120.67,121.08,119.86,120.3,11169400,JPM
2020-12-17,106.1228,119.67,121.45,119.58,121.26,11618000,JPM
2020-12-18,105.5996,119.08,119.88,118.27,119.14,28954800,JPM
2020-12-21,109.5636,123.55,125.0,121.09,123.17,28323600,JPM
2020-12-22,107.8964,121.67,123.52,121.61,123.39,11788200,JPM
2020-12-23,110.9115,125.07,126.52,122.35,122.78,14973200,JPM
2020-12-24,110.4238,124.52,125.55,123.57,125.09,4164900,JPM
2020-12-28,111.1509,125.34,126.65,124.79,125.82,8072600,JPM
2020-12-29,110.8583,125.01,126.28,124.89,126.2,8389200,JPM
2020-12-30,111.1687,125.36,125.85,124.9,125.49,7398000,JPM
2020-12-31,112.6851,127.07,127.33,124.82,125.09,8580200,JPM
2021-01-04,111.621,125.87,127.86,124.78,127.5,16819900,JPM
2021-01-05,112.2283,125.65,126.3,123.77,124.99,13731200,JPM
2021-01-06,117.4981,131.55,132.77,127.88,129.88,24909100,JPM
2021-01-07,121.3567,135.87,138.19,134.92,135.69,21940400,JPM
2021-01-08,121.4906,136.02,136.35,134.12,135.97,12035100,JPM
2021-01-11,123.3038,138.05,138.2,134.11,134.58,15937900,JPM
2021-01-12,125.242,140.22,141.66,138.83,139.44,18033500,JPM
2021-01-13,125.3581,140.35,140.79,138.1,138.59,14816800,JPM
2021-01-14,126.0905,141.17,142.75,140.0,140.49,18565600,JPM
2021-01-15,123.8307,138.64,141.65,137.01,137.43,27881000,JPM
2021-01-19,123.2949,138.04,140.7,137.82,139.86,19843800,JPM
2021-01-20,121.446,135.97,138.17,135.44,137.82,16028800,JPM
2021-01-21,120.4277,134.83,136.16,134.32,135.69,13411700,JPM
2021-01-22,119.4988,133.79,134.4,132.2,132.69,12933200,JPM
2021-01-25,118.0072,132.12,133.17,130.06,132.14,14212800,JPM
2021-01-26,117.5249,131.58,133.17,131.34,132.75,11307800,JPM
2021-01-27,114.2023,127.86,129.85,127.35,129.59,17603900,JPM
2021-01-28,116.2119,130.11,132.17,128.99,129.9,13761800,JPM
2021-01-29,114.9257,128.67,131.72,128.19,131.19,14808100,JPM
2021-02-01,115.7743,129.62,130.07,128.48,129.4,11080700,JPM
2021-02-02,119.3381,133.61,134.39,131.22,131.94,12253600,JPM
2021-02-03,120.7046,135.14,135.76,133.51,133.65,10600800,JPM
2021-02-04,123.4824,138.25,138.66,135.47,135.47,12419500,JPM
2021-02-05,123.2412,137.98,139.49,137.38,139.39,10051300,JPM
2021-02-08,125.1705,140.14,140.3,138.18,138.2,10136400,JPM
2021-02-09,124.6704,139.58,139.98,138.54,139.43,8614800,JPM
2021-02-10,124.7418,139.66,140.87,139.04,140.0,10323200,JPM
2021-02-11,124.3935,139.27,140.55,138.22,139.66,9201000,JPM
2021-02-12,126.1619,141.25,141.61,139.0,139.05,8324600,JPM
2021-02-16,129.1988,144.65,145.32,142.4,143.55,12130600,JPM
2021-02-17,129.6007,145.1,145.38,143.12,143.95,10810100,JPM
2021-02-18,130.0383,145.59,145.79,143.4,144.0,10587800,JPM
2021-02-19,132.2088,148.02,148.84,145.86,145.86,11969800,JPM
2021-02-22,133.4503,149.41,150.19,146.79,146.87,11488400,JPM
2021-02-23,134.5222,150.61,152.31,149.59,151.51,16234400,JPM
2021-02-24,136.8891,153.26,153.76,150.11,150.11,15061400,JPM
2021-02-25,135.0313,151.18,154.9,150.59,154.27,18127700,JPM
2021-02-26,131.4496,147.17,150.87,146.51,150.3,19829200,JPM
2021-03-01,134.4239,150.5,151.38,148.48,149.52,14845500,JPM
2021-03-02,133.9862,150.01,151.78,149.84,150.08,14221700,JPM
2021-03-03,136.5765,152.91,154.98,150.82,151.23,14324100,JPM
2021-03-04,134.4774,150.56,154.38,148.62,152.61,20093900,JPM
2021-03-05,134.7901,150.91,153.49,147.97,153.22,18465100,JPM
2021-03-08,136.5765,152.91,155.46,150.75,152.47,17133300,JPM
2021-03-09,135.6118,151.83,154.25,149.82,151.5,16238800,JPM
2021-03-10,138.5593,155.13,156.16,151.51,151.91,14342200,JPM
2021-03-11,137.8358,154.32,156.15,153.36,154.11,11771500,JPM
2021-03-12,139.4704,156.15,157.63,155.07,156.86,12849500,JPM
2021-03-15,138.7737,155.37,156.92,153.96,156.35,12101100,JPM
2021-03-16,137.1124,153.51,154.6,152.19,154.09,12805600,JPM
2021-03-17,138.5236,155.09,156.88,153.05,155.34,13952400,JPM
2021-03-18,140.8101,157.65,161.69,157.11,157.6,21898500,JPM
2021-03-19,138.5682,155.14,155.94,151.19,155.51,54418800,JPM
2021-03-22,134.8437,150.97,153.97,150.61,152.8,19944800,JPM
2021-03-23,133.495,149.46,152.12,148.96,150.33,17076300,JPM
2021-03-24,134.5311,150.62,153.18,149.86,150.0,13079800,JPM
2021-03-25,136.2549,152.55,152.97,149.33,150.0,15608300,JPM
2021-03-26,138.5236,155.09,155.45,152.55,154.3,16754400,JPM
2021-03-29,136.371,152.68,153.73,151.04,152.12,17570300,JPM
2021-03-30,137.9787,154.48,155.87,153.88,154.46,13184300,JPM
2021-03-31,135.9691,152.23,154.49,152.12,153.28,16736700,JPM
2021-04-01,137.291,153.71,153.79,151.55,151.9,16561500,JPM
2021-04-05,138.0187,153.62,154.94,152.6,154.4,13508000,JPM
2021-04-06,137.0484,152.54,154.28,151.86,152.79,13071600,JPM
2021-04-07,139.1957,154.93,155.23,152.65,153.1,16903500,JPM
2021-04-08,139.3664,155.12,155.51,152.31,154.0,12335500,JPM
2021-04-09,140.4086,156.28,157.04,154.97,155.81,12122400,JPM
2021-04-12,140.1121,155.95,157.25,155.57,155.58,12273400,JPM
2021-04-13,138.441,154.09,155.2,152.43,154.75,16113600,JPM
2021-04-14,135.8535,151.21,153.83,150.93,151.47,19939600,JPM
2021-04-15,136.716,152.17,152.2,149.32,151.25,17694100,JPM
2021-04-16,137.7312,153.3,154.51,152.69,153.87,13773400,JPM
2021-04-19,137.1472,152.65,153.88,152.22,153.42,11900200,JPM
2021-04-20,134.1105,149.27,151.75,148.65,151.74,13716700,JPM
2021-04-21,135.2516,150.54,150.61,146.79,147.79,12236700,JPM
2021-04-22,132.4035,147.37,150.3,147.26,150.23,15256100,JPM
2021-04-23,134.9371,150.19,151.13,146.69,147.18,14041900,JPM
2021-04-26,135.2695,150.56,152.46,150.38,150.78,10799100,JPM
2021-04-27,135.8895,151.25,151.57,150.11,150.5,12821200,JPM
2021-04-28,136.7699,152.23,152.89,151.4,152.43,8943700,JPM
2021-04-29,139.4293,155.19,155.28,153.2,153.54,12976900,JPM
2021-04-30,138.1894,153.81,154.49,153.01,154.1,11705100,JPM
2021-05-03,137.7852,153.36,155.48,153.13,154.85,11801100,JPM
2021-05-04,139.6899,155.48,155.64,152.14,152.87,12977700,JPM
2021-05-05,141.5227,157.52,158.28,154.63,156.0,10506700,JPM
2021-05-06,144.3708,160.69,160.82,157.16,158.07,13542400,JPM
2021-05-07,144.8649,161.24,161.5,157.02,157.22,14257800,JPM
2021-05-10,144.8469,161.22,163.73,161.12,161.5,14014300,JPM
2021-05-11,142.4391,158.54,162.39,158.04,161.08,15451700,JPM
2021-05-12,141.4598,157.45,160.78,157.03,159.61,14381700,JPM
2021-05-13,145.0985,161.5,162.45,157.68,158.18,15395000,JPM
2021-05-14,147.3536,164.01,164.45,161.99,162.39,10584000,JPM
2021-05-17,147.9465,164.67,164.85,163.03,163.37,9886800,JPM
2021-05-18,145.8622,162.35,165.5,162.24,164.68,11098100,JPM
2021-05-19,144.7481,161.11,161.18,158.64,161.0,13278900,JPM
2021-05-20,144.4965,160.83,161.86,159.52,160.83,10426000,JPM
2021-05-21,146.1407,162.66,163.22,160.94,161.34,10249000,JPM
2021-05-24,146.9313,163.54,164.23,162.12,163.36,9440300,JPM
2021-05-25,145.4129,161.85,165.7,161.56,163.85,12609100,JPM
2021-05-26,145.3949,161.83,163.74,161.31,163.57,13058300,JPM
2021-05-27,147.659,164.35,164.75,162.57,163.95,15707500,JPM
2021-05-28,147.5602,164.24,164.94,163.26,164.68,10291300,JPM
2021-06-01,149.1864,166.05,166.91,165.48,165.87,9445400,JPM
2021-06-02,149.1954,166.06,167.44,165.53,167.26,10498600,JPM
2021-06-03,149.2942,166.17,167.25,164.66,165.41,13354400,JPM
2021-06-04,149.5368,166.44,166.67,165.03,166.21,8510800,JPM
2021-06-07,148.836,165.66,167.1,165.14,167.0,7267200,JPM
2021-06-08,148.243,165.0,165.76,163.16,164.49,10370700,JPM
2021-06-09,146.3922,162.94,164.22,162.28,164.14,12377400,JPM
2021-06-10,144.1102,160.4,165.24,160.31,164.36,12119400,JPM
2021-06-11,144.0114,160.29,161.2,159.06,160.43,13683800,JPM
2021-06-14,141.5676,157.57,160.33,156.66,160.15,19917900,JPM
2021-06-15,139.4203,155.18,156.92,154.13,156.7,24485500,JPM
2021-06-16,140.3996,156.27,157.62,153.11,154.73,25321200,JPM
2021-06-17,136.3476,151.76,157.46,151.25,157.1,29722400,JPM
2021-06-18,132.8976,147.92,149.7,147.56,149.3,43595700,JPM
2021-06-21,135.1527,150.43,151.2,149.02,149.08,18664800,JPM
2021-06-22,134.9551,150.21,150.97,148.66,150.6,14251200,JPM
2021-06-23,135.7726,151.12,152.04,150.09,150.2,12733300,JPM
2021-06-24,137.0215,152.51,153.12,151.22,151.92,13733200,JPM
2021-06-25,138.4051,154.05,154.5,151.67,152.59,15484900,JPM
2021-06-28,138.6566,154.33,154.48,152.12,153.7,14125800,JPM
2021-06-29,138.4859,154.14,156.31,153.61,155.0,14528700,JPM
2021-06-30,139.7437,155.54,156.08,153.71,153.75,12531000,JPM
2021-07-01,141.1274,157.08,157.14,155.42,156.26,10479400,JPM
2021-07-02,140.9918,156.03,156.32,155.12,155.95,11424000,JPM
2021-07-06,138.6243,153.41,155.78,152.35,155.78,15083400,JPM
2021-07-07,138.787,153.59,154.28,151.55,152.01,12271800,JPM
2021-07-08,136.3923,150.94,152.53,150.04,151.61,17834600,JPM
2021-07-09,140.7569,155.77,156.15,152.58,153.05,13694500,JPM
2021-07-12,142.7719,158.0,159.16,153.94,154.35,19940400,JPM
2021-07-13,140.6484,155.65,157.39,153.5,156.05,22671700,JPM
2021-07-14,140.1695,155.12,157.28,152.95,155.95,14622800,JPM
2021-07-15,140.4767,155.46,156.53,153.7,153.9,11539300,JPM
2021-07-16,137.2689,151.91,156.28,151.02,155.96,14002700,JPM
2021-07-19,132.805,146.97,149.82,145.71,148.55,22172900,JPM
2021-07-20,135.2809,149.71,151.12,146.33,146.52,15385200,JPM
2021-07-21,138.1273,152.86,153.65,151.36,152.05,12356700,JPM
2021-07-22,136.3833,150.93,153.44,149.97,152.88,9913300,JPM
2021-07-23,136.1213,150.64,152.84,150.25,151.48,9666100,JPM
2021-07-26,137.0339,151.65,151.96,150.17,150.19,8208000,JPM
2021-07-27,136.8532,151.45,152.49,149.8,150.4,11218700,JPM
2021-07-28,137.0791,151.7,152.77,150.88,152.29,9217300,JPM
2021-07-29,138.2538,153.0,153.87,151.91,153.14,9063500,JPM
