date,adj_close,close,high,low,open,volume,symbol
2020-06-15,288.9236,297.17,298.92,288.75,290.0,5932900,MA
2020-06-16,296.0308,304.48,309.09,300.11,305.91,4013100,MA
2020-06-17,295.3307,303.76,307.48,303.08,305.0,2566400,MA
2020-06-18,296.3905,304.85,305.1,300.5,301.83,2776600,MA
2020-06-19,288.2722,296.5,309.5,296.5,309.5,4533500,MA
2020-06-22,295.9919,304.44,304.95,297.73,299.6,3489200,MA
2020-06-23,298.3641,306.88,310.43,304.42,307.03,3801500,MA
2020-06-24,285.8513,294.01,305.52,293.06,305.0,5086000,MA
2020-06-25,289.7403,298.01,298.39,290.67,294.16,3294800,MA
2020-06-26,281.3109,289.34,298.11,289.17,296.88,4922500,MA
2020-06-29,284.8012,292.93,293.15,285.15,291.34,3642200,MA
2020-06-30,287.4944,295.7,296.6,291.01,293.09,4283500,MA
2020-07-01,292.8126,301.17,303.27,295.12,295.96,3801300,MA
2020-07-02,294.0279,302.42,306.89,301.31,304.33,3290100,MA
2020-07-06,297.0905,305.57,307.32,303.17,306.65,3013300,MA
2020-07-07,291.5875,299.91,307.79,299.4,303.19,3633100,MA
2020-07-08,292.2106,300.15,301.54,297.4,300.91,4115000,MA
2020-07-09,286.7977,294.59,300.72,290.56,299.62,5042800,MA
2020-07-10,287.8589,295.68,296.96,291.5,294.0,3030900,MA
2020-07-13,282.5044,290.18,298.62,290.02,297.86,4853700,MA
2020-07-14,291.0424,298.95,299.1,288.65,292.0,4795900,MA
2020-07-15,297.6333,305.72,306.77,301.39,303.0,5257300,MA
2020-07-16,291.4318,299.35,303.53,298.91,302.97,3312100,MA
2020-07-17,296.0172,304.06,305.24,299.41,301.73,3169800,MA
2020-07-20,303.7083,311.96,314.99,301.92,301.92,5279400,MA
2020-07-21,299.4636,307.6,314.05,306.3,313.0,3562100,MA
2020-07-22,305.0809,313.37,313.57,308.13,308.13,3303100,MA
2020-07-23,301.7028,309.9,317.24,308.72,313.55,3118500,MA
2020-07-24,298.8016,306.92,310.73,304.54,306.48,2500300,MA
2020-07-27,300.6902,308.86,310.0,306.02,307.06,2311600,MA
2020-07-28,298.2271,306.33,310.2,306.03,308.5,2116300,MA
2020-07-29,301.1186,309.3,311.66,304.12,304.5,3542400,MA
2020-07-30,300.8266,309.0,312.82,303.04,304.0,3941600,MA
2020-07-31,300.369,308.53,310.09,305.61,310.0,4684400,MA
2020-08-03,304.3216,312.59,313.5,309.3,311.0,3907800,MA
2020-08-04,306.074,314.39,315.69,311.1,312.5,3409200,MA
2020-08-05,319.324,328.0,329.68,315.87,316.37,5677200,MA
2020-08-06,321.4074,330.14,331.22,325.9,327.4,4839800,MA
2020-08-07,319.3434,328.02,328.33,323.93,328.0,3662500,MA
2020-08-10,314.3394,322.88,329.74,321.86,327.19,3752100,MA
2020-08-11,319.8497,328.54,334.55,323.58,325.0,5273300,MA
2020-08-12,318.9638,327.63,331.4,326.2,328.66,3125900,MA
2020-08-13,317.5618,326.19,329.83,325.62,325.93,2526700,MA
2020-08-14,318.1557,326.8,327.64,324.81,325.67,1444900,MA
2020-08-17,321.495,330.23,331.23,326.68,327.0,2904100,MA
2020-08-18,322.2447,331.0,331.4,326.35,330.2,3021700,MA
2020-08-19,323.6076,332.4,334.46,330.0,330.04,3421000,MA
2020-08-20,328.3975,337.32,338.0,330.19,330.19,2966000,MA
2020-08-21,328.1833,337.1,338.8,335.97,338.0,2680900,MA
2020-08-24,334.5503,343.64,343.83,338.75,339.36,2753900,MA
2020-08-25,338.4639,347.66,348.46,343.33,344.71,2862700,MA
2020-08-26,341.7351,351.02,352.29,345.5,348.0,3512000,MA
2020-08-27,346.5834,356.0,358.0,350.58,351.73,3811700,MA
2020-08-28,356.4356,366.12,367.25,356.16,357.48,3544700,MA
2020-08-31,348.7154,358.19,366.63,357.69,366.63,3948200,MA
2020-09-01,347.4596,356.9,359.44,353.56,357.71,4409600,MA
2020-09-02,351.159,360.7,361.6,356.28,357.39,4127200,MA
2020-09-03,334.7449,343.84,358.94,341.26,358.47,6297400,MA
2020-09-04,326.1486,335.01,346.99,326.55,343.0,6571200,MA
2020-09-08,321.1542,329.88,335.71,326.9,328.76,4425700,MA
2020-09-09,330.6561,339.64,342.76,332.37,337.39,3344900,MA
2020-09-10,324.0749,332.88,345.13,331.14,342.5,2845900,MA
2020-09-11,321.4171,330.15,334.71,327.31,334.71,2920400,MA
2020-09-14,329.6436,338.6,340.0,334.02,334.97,3416100,MA
2020-09-15,330.1693,339.14,343.93,338.53,342.74,2396400,MA
2020-09-16,332.8076,341.85,346.04,339.79,341.28,3049000,MA
2020-09-17,330.4516,339.43,343.72,336.0,337.14,3713000,MA
2020-09-18,326.3919,335.26,341.14,333.37,338.21,4006000,MA
2020-09-21,319.178,327.85,331.67,320.81,329.47,4466000,MA
2020-09-22,326.4406,335.31,336.03,325.11,329.51,3375300,MA
2020-09-23,315.9458,324.53,335.17,323.47,334.84,2893900,MA
2020-09-24,319.5284,328.21,330.78,321.18,323.2,3706300,MA
2020-09-25,323.004,331.78,333.48,322.1,325.65,3077500,MA
2020-09-28,329.4391,338.39,340.57,335.81,336.61,3122500,MA
2020-09-29,327.3363,336.23,340.72,335.82,338.39,2679500,MA
2020-09-30,329.225,338.17,343.65,336.42,336.7,3285200,MA
2020-10-01,334.2874,343.37,346.7,340.28,342.24,2503600,MA
2020-10-02,329.8675,338.83,342.61,336.01,338.27,2184600,MA
2020-10-05,334.1706,343.25,343.25,338.97,341.68,2081600,MA
2020-10-06,328.5045,337.43,346.36,336.22,342.06,2553400,MA
2020-10-07,334.8034,343.9,344.65,340.34,341.78,3068200,MA
2020-10-08,336.4116,345.15,347.69,344.24,345.01,1991800,MA
2020-10-09,343.4683,352.39,353.36,347.0,347.99,3116500,MA
2020-10-12,343.1272,352.04,355.0,350.82,355.0,2942900,MA
2020-10-13,337.0842,345.84,351.5,345.02,351.43,2523800,MA
2020-10-14,334.0237,342.7,347.19,341.19,345.76,2234300,MA
2020-10-15,329.9982,338.57,339.61,332.82,338.3,3727300,MA
2020-10-16,330.8072,339.4,344.98,339.23,340.0,3324600,MA
2020-10-19,323.2729,331.67,341.3,330.43,340.12,2937600,MA
2020-10-20,323.3217,331.72,336.8,331.68,333.04,2677800,MA
2020-10-21,324.9786,333.42,336.32,331.3,332.49,2725300,MA
2020-10-22,325.1541,333.6,335.38,329.25,333.37,2256000,MA
2020-10-23,321.2651,329.61,335.69,328.31,335.69,2945400,MA
2020-10-26,310.0075,318.06,327.24,314.23,326.41,5173300,MA
2020-10-27,309.0815,317.11,319.56,312.36,318.9,4314900,MA
2020-10-28,284.003,291.38,302.0,288.6,301.69,11518200,MA
2020-10-29,285.7574,293.18,295.3,287.55,293.2,9582300,MA
2020-10-30,281.3324,288.64,291.85,281.2,289.85,6892800,MA
2020-11-02,282.6286,289.97,294.84,288.12,294.24,5094900,MA
2020-11-03,287.9115,295.39,300.34,291.78,294.45,4097700,MA
2020-11-04,299.4225,307.2,312.72,302.24,305.09,4790100,MA
2020-11-05,308.5162,316.53,319.35,313.58,315.14,3794400,MA
2020-11-06,305.6993,313.64,316.49,310.09,315.98,2978500,MA
2020-11-09,335.8366,344.56,357.0,340.9,346.92,10933700,MA
2020-11-10,326.3041,334.78,345.86,333.44,339.99,5330400,MA
2020-11-11,323.9746,332.39,337.7,331.07,337.41,2969900,MA
2020-11-12,319.9785,328.29,333.09,326.3,329.06,3207700,MA
2020-11-13,326.5478,335.03,336.11,327.34,330.3,2393700,MA
2020-11-16,326.9573,335.45,342.65,333.17,341.8,3312800,MA
2020-11-17,327.9806,336.5,337.77,330.72,333.17,3412700,MA
2020-11-18,327.4348,335.94,340.95,334.86,336.53,3203400,MA
2020-11-19,325.427,333.88,339.16,331.42,335.49,2718700,MA
2020-11-20,314.8224,323.0,335.16,323.0,334.78,4142400,MA
2020-11-23,323.6336,332.04,333.2,324.37,326.21,3219000,MA
2020-11-24,333.7215,342.39,344.11,334.12,336.91,3529700,MA
2020-11-25,332.6786,341.32,343.71,339.34,343.71,2535200,MA
2020-11-27,330.4856,339.07,342.88,337.61,342.83,1402300,MA
2020-11-30,327.9904,336.51,338.05,330.18,337.66,4276200,MA
2020-12-01,330.3004,338.88,342.63,337.62,339.67,4210400,MA
2020-12-02,331.6064,340.22,340.24,334.0,336.78,2972100,MA
2020-12-03,326.6551,335.14,342.32,334.12,338.56,3080300,MA
2020-12-04,335.6319,344.35,344.35,335.8,336.92,4323600,MA
2020-12-07,332.3278,340.96,347.99,340.05,343.36,2389800,MA
2020-12-08,332.162,340.79,342.83,336.7,338.28,2224600,MA
2020-12-09,328.3218,336.85,341.71,334.69,340.41,2962600,MA
2020-12-10,323.1267,331.52,335.54,331.19,334.65,3506800,MA
2020-12-11,319.1305,327.42,331.57,325.53,327.09,4179400,MA
2020-12-14,322.7661,331.15,338.75,327.59,329.0,3552400,MA
2020-12-15,325.2028,333.65,335.22,327.62,333.16,3104600,MA
2020-12-16,323.692,332.1,334.0,329.25,333.96,3393300,MA
2020-12-17,328.3704,336.9,338.33,333.4,334.54,2725500,MA
2020-12-18,331.7137,340.33,341.6,334.35,336.51,8443700,MA
2020-12-21,325.9046,334.37,336.15,327.24,333.21,3642500,MA
2020-12-22,323.8284,332.24,335.22,331.6,334.16,2403100,MA
2020-12-23,320.8947,329.23,335.21,329.03,334.13,2760600,MA
2020-12-24,327.4933,336.0,336.37,330.35,330.65,1308900,MA
2020-12-28,335.7489,344.47,345.59,336.87,337.86,3449100,MA
2020-12-29,337.8834,346.66,348.75,344.76,347.78,2822700,MA
2020-12-30,346.5483,355.55,357.82,347.21,348.68,4200600,MA
2020-12-31,347.9032,356.94,359.41,353.25,355.03,2881700,MA
2021-01-04,342.5911,351.49,358.13,347.36,358.0,4638400,MA
2021-01-05,338.6242,347.42,353.0,345.44,348.8,2990700,MA
2021-01-06,338.7509,347.55,354.03,344.56,350.42,3966800,MA
2021-01-07,341.4346,349.86,352.37,348.38,348.95,3100200,MA
2021-01-08,345.3286,353.85,354.98,349.49,351.36,3371500,MA
2021-01-11,339.8146,348.2,353.42,347.79,352.11,2403000,MA
2021-01-12,334.6618,342.92,348.0,336.03,347.08,4858100,MA
2021-01-13,337.9896,346.33,349.76,344.23,349.61,4125700,MA
2021-01-14,319.0568,326.93,349.58,326.69,348.69,8712200,MA
2021-01-15,315.4752,323.26,329.69,321.88,327.54,7911500,MA
2021-01-19,318.0907,325.94,329.13,324.66,326.99,4625200,MA
2021-01-20,326.8447,334.91,337.93,329.13,329.99,5081000,MA
2021-01-21,326.386,334.44,336.86,331.75,334.41,3484900,MA
2021-01-22,321.0672,328.99,335.15,328.91,330.39,3846600,MA
2021-01-25,321.2624,329.19,329.95,317.23,327.51,6257700,MA
2021-01-26,319.8083,327.7,330.54,325.82,330.0,3503100,MA
2021-01-27,307.8923,315.49,323.0,313.12,320.36,7449400,MA
2021-01-28,316.4706,324.28,329.0,321.98,327.09,6906400,MA
2021-01-29,308.6731,316.29,325.68,312.38,323.8,7627200,MA
2021-02-01,313.8161,321.56,323.52,317.58,320.91,4930700,MA
2021-02-02,326.3177,334.37,336.16,323.45,323.45,5686000,MA
2021-02-03,324.805,332.82,336.0,331.07,333.84,4036800,MA
2021-02-04,332.6221,340.83,343.25,335.06,335.37,4537500,MA
2021-02-05,330.5922,338.75,344.33,337.39,342.52,2964800,MA
2021-02-08,328.9136,337.03,341.49,335.53,340.0,2652800,MA
2021-02-09,325.4101,333.44,336.22,330.0,335.95,2993300,MA
2021-02-10,326.1616,334.21,335.47,332.25,335.0,4246300,MA
2021-02-11,334.6129,342.87,349.59,340.25,345.5,5110800,MA
2021-02-12,332.788,341.0,343.12,336.7,341.33,3025100,MA
2021-02-16,332.9929,341.21,344.0,338.07,343.2,2916900,MA
2021-02-17,329.2063,337.33,340.38,335.84,339.04,2267000,MA
2021-02-18,330.3092,338.46,339.95,332.84,334.49,2393700,MA
2021-02-19,325.1465,333.17,339.0,331.0,338.44,4095800,MA
2021-02-22,332.4562,340.66,344.12,328.77,330.0,4940300,MA
2021-02-23,341.9811,350.42,354.28,338.41,340.65,6326600,MA
2021-02-24,358.4742,367.32,368.79,350.57,352.87,7467400,MA
2021-02-25,346.0312,354.57,367.32,352.21,364.56,5207500,MA
2021-02-26,345.3286,353.85,359.39,347.12,357.08,4868500,MA
2021-03-01,354.1605,362.9,366.45,359.18,360.68,4382900,MA
2021-03-02,354.0825,362.82,366.61,359.34,362.0,3559200,MA
2021-03-03,351.5744,360.25,365.43,355.45,360.0,3692300,MA
2021-03-04,341.0833,349.5,361.63,344.68,360.1,4572000,MA
2021-03-05,352.1892,360.88,361.79,346.42,354.92,4643200,MA
2021-03-08,362.3876,371.33,382.46,361.79,362.4,7213300,MA
2021-03-09,367.4526,376.52,387.32,372.72,375.0,5832800,MA
2021-03-10,372.5079,381.7,384.0,373.0,376.6,4509500,MA
2021-03-11,375.1234,384.38,389.5,382.6,385.5,3729700,MA
2021-03-12,373.4936,382.71,383.93,379.24,381.14,2467500,MA
2021-03-15,372.5664,381.76,387.86,378.64,383.31,4216200,MA
2021-03-16,373.1715,382.38,385.28,378.69,382.7,3445100,MA
2021-03-17,369.5606,378.68,385.1,375.87,381.85,3240900,MA
2021-03-18,358.1619,367.0,375.48,365.04,375.03,7205200,MA
2021-03-19,347.9246,356.51,366.28,350.14,364.8,12224300,MA
2021-03-22,349.769,358.4,361.65,354.0,355.94,4140400,MA
2021-03-23,346.7144,355.27,359.3,353.51,359.3,3756300,MA
2021-03-24,350.9889,359.65,364.99,356.0,357.08,3550000,MA
2021-03-25,349.7299,358.36,359.47,354.15,358.01,2961800,MA
2021-03-26,357.3226,366.14,366.61,357.26,359.93,2741200,MA
2021-03-29,354.1704,362.91,365.35,358.61,364.24,4054900,MA
2021-03-30,349.5739,358.2,364.57,357.1,360.78,2885800,MA
2021-03-31,347.4755,356.05,361.5,355.78,359.59,4372600,MA
2021-04-01,354.5509,363.3,363.4,355.24,357.04,3701800,MA
2021-04-05,359.4501,368.32,370.52,364.34,366.8,2180300,MA
2021-04-06,360.67,369.57,370.75,362.5,364.9,2661900,MA
2021-04-07,362.1435,371.08,373.96,369.0,369.14,2958300,MA
2021-04-08,369.0808,377.74,379.31,372.75,373.0,3528400,MA
2021-04-09,371.3672,380.08,380.35,374.44,376.08,2429300,MA
2021-04-12,371.1327,379.84,380.94,376.18,378.08,2896600,MA
2021-04-13,369.462,378.13,380.1,376.8,379.06,2652800,MA
2021-04-14,369.6476,378.32,380.95,375.6,377.0,2317400,MA
2021-04-15,377.6302,386.49,387.37,380.97,381.17,2942200,MA
2021-04-16,377.3176,386.17,389.1,383.67,389.0,2725500,MA
2021-04-19,373.3995,382.16,387.74,381.32,384.9,3360900,MA
2021-04-20,367.9963,376.63,381.31,373.56,380.19,3135900,MA
2021-04-21,374.318,383.1,384.1,376.67,378.59,2466300,MA
2021-04-22,374.5721,383.36,389.5,381.99,383.08,3713700,MA
2021-04-23,378.1872,387.06,389.88,383.46,384.35,2294800,MA
2021-04-26,378.5878,387.47,392.94,387.1,387.83,2255000,MA
2021-04-27,380.1512,389.07,390.43,386.14,388.22,2270000,MA
2021-04-28,386.5803,395.65,401.5,390.7,390.7,4065300,MA
2021-04-29,380.0339,388.95,392.39,383.81,391.5,4637100,MA
2021-04-30,373.3018,382.06,385.0,375.61,382.86,4043200,MA
2021-05-03,370.7028,379.4,386.87,376.85,385.47,3344100,MA
2021-05-04,367.2928,375.91,378.21,371.58,377.07,3321200,MA
2021-05-05,360.678,369.14,379.64,368.03,377.93,2993900,MA
2021-05-06,366.8728,375.48,375.73,365.7,371.14,3787300,MA
2021-05-07,366.7945,375.4,378.64,373.56,377.26,2935900,MA
2021-05-10,357.9422,366.34,376.0,365.41,375.79,3193700,MA
2021-05-11,359.183,367.61,368.93,359.27,361.01,3073100,MA
2021-05-12,348.445,356.62,365.38,355.64,364.75,3293200,MA
2021-05-13,351.767,360.02,362.84,357.92,359.33,2626000,MA
2021-05-14,355.5679,363.91,364.71,361.49,363.03,2959700,MA
2021-05-17,354.9718,363.3,364.06,358.06,362.3,2511600,MA
2021-05-18,354.7472,363.07,369.84,362.88,367.0,3421200,MA
2021-05-19,352.7051,360.98,361.15,355.37,357.33,3577900,MA
2021-05-20,359.2711,367.7,369.41,362.49,362.94,4087500,MA
2021-05-21,359.1733,367.6,372.53,367.46,369.14,2708700,MA
2021-05-24,363.8438,372.38,373.74,369.64,370.08,2351500,MA
2021-05-25,358.802,367.22,373.75,366.82,373.13,3916300,MA
