date,adj_close,close,high,low,open,volume,symbol
2020-06-15,231.4094,232.5,233.77,224.8,225.09,15340300,META
2020-06-16,234.5446,235.65,238.46,233.0,237.14,15236700,META
2020-06-17,234.4251,235.53,237.59,231.73,235.0,19578100,META
2020-06-18,234.8333,235.94,236.14,232.15,234.99,15782500,META
2020-06-19,237.6698,238.79,240.83,235.55,237.79,30081300,META
2020-06-22,238.0978,239.22,240.7,236.91,238.56,18917800,META
2020-06-23,241.1037,242.24,245.19,239.86,241.28,24017900,META
2020-06-24,232.9222,234.02,243.22,232.68,241.2,20834900,META
2020-06-25,234.5744,235.68,237.3,232.74,234.62,18704300,META
2020-06-26,215.0664,216.08,233.09,215.4,232.64,76343900,META
2020-06-29,219.605,220.64,220.75,207.11,209.75,58514300,META
2020-06-30,226.0048,227.07,227.5,218.47,220.59,33927100,META
2020-07-01,236.4357,237.55,239.0,227.56,228.5,43399700,META
2020-07-02,232.325,233.42,240.0,232.61,239.0,30633600,META
2020-07-06,239.1529,240.28,240.4,232.27,233.76,26206200,META
2020-07-07,239.7301,240.86,247.65,238.82,239.41,27887800,META
2020-07-08,242.4374,243.58,246.99,236.59,238.11,29791300,META
2020-07-09,243.3531,244.5,246.53,239.24,245.0,22174900,META
2020-07-10,243.9204,245.07,245.49,239.32,243.69,22982700,META
2020-07-13,237.8789,239.0,250.15,238.42,247.01,24674900,META
2020-07-14,238.6054,239.73,240.33,232.03,236.76,23378100,META
2020-07-15,239.1529,240.28,244.82,238.05,241.55,19133600,META
2020-07-16,239.7998,240.93,241.76,236.33,238.0,18880700,META
2020-07-17,240.8947,242.03,244.16,237.86,241.0,18152400,META
2020-07-20,244.2688,245.42,246.05,235.64,240.06,20872200,META
2020-07-21,240.616,241.75,246.91,240.08,246.22,19364200,META
2020-07-22,238.7448,239.87,241.9,238.12,240.26,15427900,META
2020-07-23,231.5089,232.6,242.42,231.75,239.63,21771800,META
2020-07-24,229.6278,230.71,233.49,226.9,230.19,18325800,META
2020-07-27,232.4047,233.5,234.95,230.83,231.46,13163100,META
2020-07-28,229.0405,230.12,234.96,229.83,234.63,14170100,META
2020-07-29,232.1956,233.29,233.7,230.31,231.14,13588300,META
2020-07-30,233.4,234.5,234.89,229.0,230.22,20615300,META
2020-07-31,252.4801,253.67,255.85,249.0,255.82,53005100,META
2020-08-03,250.7781,251.96,255.4,250.33,252.65,23124900,META
2020-08-04,248.6581,249.83,252.8,247.43,251.56,17183500,META
2020-08-05,247.9514,249.12,252.27,247.77,250.19,13050100,META
2020-08-06,264.0356,265.28,266.6,248.67,249.04,45241600,META
2020-08-07,267.1808,268.44,278.89,263.43,264.08,72766400,META
2020-08-10,261.7663,263.0,273.86,259.69,268.04,30248800,META
2020-08-11,254.9285,256.13,265.92,255.13,260.19,28238300,META
2020-08-12,258.6709,259.89,263.9,258.11,258.97,21415700,META
2020-08-13,260.0742,261.3,265.16,259.57,261.55,17374000,META
2020-08-14,260.0146,261.24,262.65,258.68,262.31,14792700,META
2020-08-17,259.9349,261.16,264.1,259.4,262.5,13351100,META
2020-08-18,261.1094,262.34,265.15,259.26,260.95,18690400,META
2020-08-19,261.3582,262.59,267.91,261.35,261.39,23291500,META
2020-08-20,267.7481,269.01,269.63,261.46,261.5,20299700,META
2020-08-21,265.7575,267.01,270.49,266.42,268.69,15538600,META
2020-08-24,270.117,271.39,277.25,268.77,271.07,23685600,META
2020-08-25,279.5027,280.82,283.09,270.26,272.41,42127200,META
2020-08-26,302.4844,303.91,304.67,284.0,284.0,69015200,META
2020-08-27,291.8445,293.22,301.23,292.02,300.16,30301300,META
2020-08-28,292.2824,293.66,297.23,290.98,295.0,17157400,META
2020-08-31,291.8247,293.2,296.88,291.55,293.95,17345100,META
2020-09-01,294.0541,295.44,301.49,292.71,294.71,17295900,META
2020-09-02,301.081,302.5,303.6,293.05,298.88,24341400,META
2020-09-03,289.7544,291.12,297.6,283.63,295.99,32294100,META
2020-09-04,281.4038,282.73,289.0,271.14,287.25,30333700,META
2020-09-08,269.888,271.16,279.3,269.42,271.28,24864000,META
2020-09-09,272.436,273.72,278.48,271.35,275.77,22918800,META
2020-09-10,266.8325,268.09,279.16,267.03,275.51,24814700,META
2020-09-11,265.3594,266.61,271.39,262.64,270.06,18913900,META
