date,adj_close,close,high,low,open,volume,symbol
2015-06-17,39.8602,45.97,46.07,45.36,45.73,28704100,MSFT
2015-06-18,40.5105,46.72,46.8,46.17,46.22,32658300,MSFT
2015-06-19,39.9729,46.1,46.83,45.99,46.79,63837000,MSFT
2015-06-22,40.0856,46.23,46.72,46.16,46.33,20318100,MSFT
2015-06-23,39.8081,45.91,46.28,45.62,46.13,25896500,MSFT
2015-06-24,39.574,45.64,46.25,45.55,45.67,34890900,MSFT
2015-06-25,39.5827,45.65,46.06,45.5,46.03,20616000,MSFT
2015-06-26,39.2445,45.26,46.28,45.03,45.65,49835300,MSFT
2015-06-29,38.4728,44.37,45.23,44.36,45.04,34081700,MSFT
2015-06-30,38.2821,44.15,44.72,43.94,44.71,35945400,MSFT
2015-07-01,38.5422,44.45,45.23,44.1,44.46,28343900,MSFT
2015-07-02,38.4988,44.4,44.75,44.06,44.48,21752000,MSFT
2015-07-06,38.4902,44.39,44.48,43.95,43.96,23034000,MSFT
2015-07-07,38.4121,44.3,44.49,43.32,44.34,36435800,MSFT
2015-07-08,38.3601,44.24,44.9,44.03,44.44,39785900,MSFT
2015-07-09,38.6029,44.52,45.22,44.5,44.75,32424700,MSFT
2015-07-10,38.6809,44.61,45.14,44.57,45.01,25465800,MSFT
2015-07-13,39.4873,45.54,45.62,44.95,44.98,28178300,MSFT
2015-07-14,39.5567,45.62,45.96,45.31,45.45,22880300,MSFT
2015-07-15,39.6781,45.76,45.89,45.43,45.68,26629600,MSFT
2015-07-16,40.4584,46.66,46.69,45.97,46.01,26271700,MSFT
2015-07-17,40.4238,46.62,46.78,46.26,46.55,29467100,MSFT
2015-07-20,40.6839,46.92,47.13,46.44,46.65,30631900,MSFT
2015-07-21,40.996,47.28,47.33,46.48,46.78,42781900,MSFT
2015-07-22,39.4873,45.54,46.93,45.2,45.44,59152400,MSFT
2015-07-23,39.9816,46.11,46.23,45.1,45.27,33934000,MSFT
2015-07-24,39.8341,45.94,46.32,45.8,45.91,32333200,MSFT
2015-07-27,39.3226,45.35,46.01,45.25,45.94,39701400,MSFT
2015-07-28,39.3139,45.34,45.64,44.79,45.58,34328900,MSFT
2015-07-29,40.1376,46.29,46.78,45.26,45.4,40945900,MSFT
2015-07-30,40.6492,46.88,47.4,45.93,46.26,39777900,MSFT
2015-07-31,40.4931,46.7,47.37,46.5,47.29,31201500,MSFT
2015-08-03,40.5885,46.81,47.0,46.45,46.98,24125900,MSFT
2015-08-04,41.2215,47.54,47.71,46.68,46.75,33403900,MSFT
2015-08-05,41.2562,47.58,48.41,47.54,47.98,26959700,MSFT
2015-08-06,40.4238,46.62,47.77,46.33,47.71,27368000,MSFT
2015-08-07,40.5278,46.74,46.78,46.26,46.39,19163000,MSFT
2015-08-10,41.0394,47.33,47.49,46.84,46.95,23079900,MSFT
2015-08-11,40.2417,46.41,46.94,45.9,46.82,29237400,MSFT
2015-08-12,40.5278,46.74,46.9,45.71,46.19,30181400,MSFT
2015-08-13,40.5191,46.73,47.1,46.49,47.06,22627200,MSFT
2015-08-14,40.7533,47.0,47.1,46.52,46.53,21473400,MSFT
2015-08-17,41.0307,47.32,47.45,46.57,46.81,21099700,MSFT
2015-08-18,41.2577,47.27,47.43,46.7,46.84,23574100,MSFT
2015-08-19,40.6816,46.61,47.08,46.3,46.78,31485500,MSFT
2015-08-20,39.8524,45.66,46.47,45.66,46.07,36238200,MSFT
2015-08-21,37.5919,43.07,45.48,43.07,45.3,70053100,MSFT
2015-08-24,36.3787,41.68,42.69,39.72,40.45,88753700,MSFT
2015-08-25,35.3226,40.47,43.24,40.39,42.57,70616600,MSFT
2015-08-26,37.2777,42.71,42.84,41.06,42.01,63408000,MSFT
2015-08-27,38.3163,43.9,43.95,42.93,43.23,50943200,MSFT
2015-08-28,38.3425,43.93,44.15,43.39,43.4,28246700,MSFT
2015-08-31,37.9846,43.52,43.93,43.1,43.56,34441700,MSFT
2015-09-01,36.5009,41.82,42.59,41.66,42.17,49688900,MSFT
2015-09-02,37.845,43.36,43.38,41.88,42.36,37671500,MSFT
2015-09-03,37.9672,43.5,43.98,43.28,43.41,28285200,MSFT
2015-09-04,37.1904,42.61,43.04,42.2,42.81,37138800,MSFT
2015-09-08,38.3076,43.89,44.0,43.2,43.3,32469800,MSFT
2015-09-09,37.5919,43.07,44.4,42.91,44.21,33469500,MSFT
2015-09-10,37.7839,43.29,43.79,42.75,43.12,31366600,MSFT
2015-09-11,37.9497,43.48,43.59,42.94,43.14,27132500,MSFT
2015-09-14,37.5657,43.04,43.44,42.86,43.43,23656000,MSFT
2015-09-15,38.3861,43.98,44.29,43.08,43.19,28882200,MSFT
2015-09-16,38.6654,44.3,44.38,43.84,43.97,23372200,MSFT
2015-09-17,38.6218,44.25,45.0,44.08,44.29,32768200,MSFT
2015-09-18,37.9497,43.48,43.99,43.33,43.5,63143700,MSFT
2015-09-21,38.4996,44.11,44.47,43.6,43.62,26177200,MSFT
2015-09-22,38.3163,43.9,44.05,43.31,43.38,28085900,MSFT
2015-09-23,38.2901,43.87,44.17,43.51,43.93,17145200,MSFT
2015-09-24,38.325,43.91,44.13,43.27,43.45,27905600,MSFT
2015-09-25,38.3512,43.94,44.73,43.76,44.48,29384600,MSFT
2015-09-28,37.7839,43.29,44.09,43.21,43.83,27613800,MSFT
2015-09-29,37.9148,43.44,43.57,43.05,43.37,32763600,MSFT
2015-09-30,38.6305,44.26,44.3,43.66,43.88,34958900,MSFT
2015-10-01,38.936,44.61,44.75,43.75,44.75,28657900,MSFT
2015-10-02,39.7739,45.57,45.57,43.92,44.27,41839000,MSFT
2015-10-05,40.6991,46.63,46.89,45.7,45.75,34369300,MSFT
2015-10-06,40.8038,46.75,47.18,46.22,46.33,27017200,MSFT
2015-10-07,40.8474,46.8,47.35,45.95,47.1,27711500,MSFT
2015-10-08,41.4148,47.45,47.52,46.5,46.56,33772700,MSFT
2015-10-09,41.118,47.11,47.54,46.92,47.45,28600600,MSFT
2015-10-12,41.022,47.0,47.07,46.5,46.98,19769100,MSFT
2015-10-13,40.926,46.89,47.13,46.56,46.56,19987800,MSFT
2015-10-14,40.7427,46.68,47.1,46.53,46.65,24697800,MSFT
2015-10-15,41.0307,47.01,47.03,46.53,47.01,27189400,MSFT
2015-10-16,41.4671,47.51,47.54,46.9,47.02,26450300,MSFT
2015-10-19,41.5631,47.62,47.88,47.02,47.42,29387600,MSFT
2015-10-20,41.6941,47.77,47.81,47.02,47.44,30802200,MSFT
2015-10-21,41.1966,47.2,47.99,47.11,47.92,25144300,MSFT
2015-10-22,41.921,48.03,48.95,47.09,47.53,56637100,MSFT
2015-10-23,46.1454,52.87,54.07,52.25,52.3,135227100,MSFT
2015-10-26,47.3499,54.25,54.32,52.5,52.53,64633300,MSFT
2015-10-27,46.8611,53.69,54.37,53.58,53.99,50999900,MSFT
2015-10-28,47.1142,53.98,53.98,52.86,53.54,47000800,MSFT
2015-10-29,46.5731,53.36,53.83,53.22,53.54,30202100,MSFT
2015-10-30,45.9446,52.64,53.99,52.62,53.32,46619800,MSFT
2015-11-02,46.4683,53.24,53.36,52.62,52.85,30285000,MSFT
2015-11-03,47.2626,54.15,54.39,52.9,52.93,36596900,MSFT
2015-11-04,47.4808,54.4,54.88,54.06,54.18,37087800,MSFT
2015-11-05,47.4633,54.38,54.7,54.0,54.49,31468500,MSFT
2015-11-06,47.9346,54.92,54.98,53.96,54.09,32851200,MSFT
2015-11-09,47.2713,54.16,54.87,53.56,54.55,32513100,MSFT
2015-11-10,46.704,53.51,54.13,53.27,54.07,55283700,MSFT
2015-11-11,46.8262,53.65,54.2,53.46,53.7,36516300,MSFT
2015-11-12,46.5381,53.32,53.98,53.19,53.48,35361100,MSFT
2015-11-13,46.1192,52.84,53.29,52.53,53.07,36848200,MSFT
2015-11-16,46.9309,53.77,53.89,52.85,53.08,32165200,MSFT
2015-11-17,46.5443,52.97,53.53,52.85,53.17,31551300,MSFT
2015-11-18,47.3175,53.85,53.98,52.98,53.0,29710000,MSFT
2015-11-19,47.3966,53.94,54.66,53.78,53.99,28149200,MSFT
2015-11-20,47.6163,54.19,54.3,53.27,54.25,37147600,MSFT
2015-11-23,47.6163,54.19,54.46,53.75,54.25,28235900,MSFT
2015-11-24,47.669,54.25,54.44,53.58,53.92,24600000,MSFT
2015-11-25,47.1769,53.69,54.23,53.69,54.09,21005100,MSFT
2015-11-27,47.3878,53.93,54.08,53.79,53.8,9009100,MSFT
2015-11-30,47.7569,54.35,54.96,54.0,54.54,56241400,MSFT
2015-12-01,48.5214,55.22,55.23,54.3,54.41,39952800,MSFT
2015-12-02,48.5126,55.21,55.96,55.06,55.32,47274900,MSFT
2015-12-03,47.6251,54.2,55.77,53.93,55.49,38627800,MSFT
2015-12-04,49.1277,55.91,56.23,54.1,54.12,43963700,MSFT
2015-12-07,49.0398,55.81,55.97,55.29,55.79,30709800,MSFT
2015-12-08,49.0222,55.79,56.1,54.99,55.47,32878000,MSFT
2015-12-09,48.3105,54.98,55.87,54.51,55.37,36373200,MSFT
2015-12-10,48.5653,55.27,55.66,55.01,55.39,31775800,MSFT
2015-12-11,47.5021,54.06,55.1,54.01,54.71,39549500,MSFT
2015-12-14,48.451,55.14,55.21,53.68,54.33,46768900,MSFT
2015-12-15,48.5038,55.2,55.9,55.09,55.66,39843000,MSFT
2015-12-16,49.321,56.13,56.25,54.76,55.54,37503300,MSFT
2015-12-17,48.9431,55.7,56.79,55.53,56.36,41280900,MSFT
2015-12-18,47.5636,54.13,56.0,54.03,55.77,84684200,MSFT
2015-12-21,48.1787,54.83,55.35,54.23,54.88,37246300,MSFT
2015-12-22,48.6356,55.35,55.48,54.5,54.99,28322200,MSFT
2015-12-23,49.0485,55.82,55.88,55.44,55.7,27279800,MSFT
2015-12-24,48.9168,55.67,55.96,55.43,55.86,9558500,MSFT
2015-12-28,49.1628,55.95,55.95,54.98,55.35,22458300,MSFT
2015-12-29,49.69,56.55,56.85,56.06,56.29,27731400,MSFT
2015-12-30,49.4791,56.31,56.78,56.29,56.47,21704500,MSFT
2015-12-31,48.7498,55.48,56.19,55.42,56.04,27334100,MSFT
2016-01-04,48.1523,54.8,54.8,53.39,54.32,53778000,MSFT
2016-01-05,48.372,55.05,55.39,54.54,54.93,34079700,MSFT
2016-01-06,47.4933,54.05,54.4,53.64,54.32,39518900,MSFT
2016-01-07,45.8413,52.17,53.49,52.07,52.7,56564900,MSFT
2016-01-08,45.9819,52.33,53.28,52.15,52.37,48754000,MSFT
2016-01-11,45.9556,52.3,52.85,51.46,52.51,36943800,MSFT
2016-01-12,46.3773,52.78,53.1,52.06,52.76,36095500,MSFT
2016-01-13,45.3756,51.64,54.07,51.3,53.8,66883600,MSFT
2016-01-14,46.6673,53.11,53.42,51.57,52.0,52381900,MSFT
2016-01-15,44.8045,50.99,51.97,50.34,51.31,71820700,MSFT
2016-01-19,44.4267,50.56,51.68,50.06,51.48,43564500,MSFT
2016-01-20,44.6287,50.79,51.38,49.1,49.98,63273000,MSFT
2016-01-21,44.3564,50.48,51.58,50.3,51.0,40191200,MSFT
2016-01-22,45.9468,52.29,52.33,51.26,51.41,37555800,MSFT
2016-01-25,45.5074,51.79,52.65,51.65,51.94,34707700,MSFT
2016-01-26,45.8413,52.17,52.44,51.55,51.79,28900800,MSFT
2016-01-27,45.0066,51.22,52.2,51.02,52.01,36775200,MSFT
2016-01-28,45.7447,52.06,52.21,51.25,51.86,62513800,MSFT
2016-01-29,48.4071,55.09,55.09,54.0,54.73,83611700,MSFT
2016-02-01,48.0732,54.71,55.09,54.5,54.88,44208500,MSFT
2016-02-02,46.5706,53.0,54.26,52.65,54.17,56313800,MSFT
2016-02-03,45.8326,52.16,53.39,51.26,53.25,57559800,MSFT
2016-02-04,45.692,52.0,52.81,51.37,52.1,46987100,MSFT
2016-02-05,44.0752,50.16,52.0,49.56,51.94,62009000,MSFT
2016-02-08,43.4162,49.41,49.57,48.19,49.55,59290500,MSFT
2016-02-09,43.3019,49.28,50.24,48.67,49.02,46740500,MSFT
2016-02-10,43.6797,49.71,50.39,49.52,49.89,38237000,MSFT
2016-02-11,43.6622,49.69,50.11,48.51,48.68,48878600,MSFT
2016-02-12,44.3739,50.5,50.68,49.75,50.25,34243300,MSFT
2016-02-16,45.2147,51.09,51.09,50.13,50.9,37291200,MSFT
2016-02-17,46.3917,52.42,52.77,51.45,51.49,40789000,MSFT
2016-02-18,46.1882,52.19,52.95,52.1,52.33,27176000,MSFT
2016-02-19,45.8607,51.82,52.28,51.53,51.97,33559100,MSFT
2016-02-22,46.5953,52.65,53.0,52.28,52.28,25008300,MSFT
2016-02-23,45.2943,51.18,52.37,50.98,52.34,28895300,MSFT
2016-02-24,45.4536,51.36,51.5,50.2,50.69,33014500,MSFT
