date,adj_close,close,high,low,open,volume,symbol
2015-06-17,0.5223,0.5395,0.5425,0.5318,0.533,233544000,NVDA
2015-06-18,0.531,0.5485,0.552,0.5425,0.544,299404000,NVDA
2015-06-19,0.5293,0.5468,0.553,0.5418,0.5485,355656000,NVDA
2015-06-22,0.5271,0.5445,0.5508,0.5362,0.5477,514236000,NVDA
2015-06-23,0.5135,0.5305,0.5497,0.5263,0.5455,414064000,NVDA
2015-06-24,0.5085,0.5253,0.5325,0.5228,0.5297,253368000,NVDA
2015-06-25,0.5123,0.5293,0.5325,0.5253,0.5253,350460000,NVDA
2015-06-26,0.5019,0.5185,0.5255,0.5163,0.525,421296000,NVDA
2015-06-29,0.4869,0.503,0.5178,0.5023,0.5125,391724000,NVDA
2015-06-30,0.4867,0.5027,0.5082,0.4992,0.506,315916000,NVDA
2015-07-01,0.4937,0.51,0.5225,0.5055,0.5153,302892000,NVDA
2015-07-02,0.4942,0.5105,0.5138,0.5073,0.5098,145764000,NVDA
2015-07-06,0.4881,0.5042,0.5132,0.5005,0.5063,214776000,NVDA
2015-07-07,0.4789,0.4947,0.5033,0.479,0.5013,594252000,NVDA
2015-07-08,0.4756,0.4913,0.495,0.4873,0.492,332492000,NVDA
2015-07-09,0.4697,0.4852,0.5013,0.4823,0.499,357588000,NVDA
2015-07-10,0.478,0.4938,0.4983,0.4902,0.4915,216708000,NVDA
2015-07-13,0.4811,0.497,0.4997,0.4938,0.4988,212472000,NVDA
2015-07-14,0.4814,0.4972,0.4983,0.4908,0.4978,249216000,NVDA
2015-07-15,0.478,0.4938,0.4992,0.4893,0.496,265732000,NVDA
2015-07-16,0.4886,0.5048,0.5048,0.495,0.4967,282848000,NVDA
2015-07-17,0.4857,0.5017,0.5035,0.4952,0.503,220372000,NVDA
2015-07-20,0.4768,0.4925,0.5038,0.4913,0.5017,188412000,NVDA
2015-07-21,0.4789,0.4947,0.5017,0.4915,0.4915,149720000,NVDA
2015-07-22,0.4697,0.4852,0.4913,0.4793,0.4913,356472000,NVDA
2015-07-23,0.4756,0.4913,0.4985,0.4852,0.4863,169916000,NVDA
2015-07-24,0.47,0.4855,0.4952,0.4835,0.4947,188844000,NVDA
2015-07-27,0.4673,0.4827,0.4882,0.4773,0.4812,192420000,NVDA
2015-07-28,0.4775,0.4933,0.4965,0.479,0.484,198308000,NVDA
2015-07-29,0.4833,0.4992,0.5033,0.4902,0.4922,232680000,NVDA
2015-07-30,0.4845,0.5005,0.5055,0.498,0.498,190180000,NVDA
2015-07-31,0.4828,0.4988,0.5027,0.4958,0.5025,218340000,NVDA
2015-08-03,0.491,0.5073,0.5077,0.4963,0.5027,397132000,NVDA
2015-08-04,0.493,0.5092,0.5107,0.5035,0.5055,260100000,NVDA
2015-08-05,0.4981,0.5145,0.5222,0.5135,0.5217,234628000,NVDA
2015-08-06,0.4949,0.5113,0.517,0.5027,0.5132,655676000,NVDA
2015-08-07,0.5561,0.5745,0.5842,0.547,0.5615,1405248000,NVDA
2015-08-10,0.5755,0.5945,0.5987,0.567,0.5705,662304000,NVDA
2015-08-11,0.5726,0.5915,0.5972,0.5857,0.5857,435008000,NVDA
2015-08-12,0.5741,0.593,0.5972,0.582,0.582,384048000,NVDA
2015-08-13,0.5692,0.588,0.595,0.5865,0.5938,276884000,NVDA
2015-08-14,0.5697,0.5885,0.592,0.584,0.5875,214652000,NVDA
2015-08-17,0.5661,0.5847,0.5875,0.5775,0.5875,273880000,NVDA
2015-08-18,0.5609,0.577,0.5845,0.5725,0.5805,287084000,NVDA
2015-08-19,0.5587,0.5748,0.5828,0.5685,0.5763,249248000,NVDA
2015-08-20,0.5386,0.554,0.571,0.5512,0.5683,426932000,NVDA
2015-08-21,0.5218,0.5368,0.5592,0.5362,0.55,382664000,NVDA
2015-08-24,0.5033,0.5178,0.5458,0.5,0.5067,682284000,NVDA
2015-08-25,0.4929,0.507,0.5425,0.507,0.5405,622684000,NVDA
2015-08-26,0.53,0.5452,0.5458,0.5195,0.5235,614976000,NVDA
2015-08-27,0.55,0.5658,0.566,0.5477,0.551,463764000,NVDA
2015-08-28,0.5524,0.5683,0.5717,0.5617,0.5658,320944000,NVDA
