date,adj_close,close,high,low,open,volume,symbol
2020-06-15,103.1699,116.69,117.28,113.76,114.55,8786000,PG
2020-06-16,104.443,118.13,118.97,116.93,118.53,8165200,PG
2020-06-17,104.2662,117.93,119.11,117.44,118.39,6320800,PG
2020-06-18,105.4598,119.28,119.96,117.37,117.46,6274400,PG
2020-06-19,105.1415,118.92,121.82,118.83,120.49,17506200,PG
2020-06-22,104.107,117.75,119.08,117.34,118.78,5695600,PG
2020-06-23,104.0893,117.73,119.19,117.65,118.67,5340400,PG
2020-06-24,102.9311,116.42,117.96,116.28,117.22,6547800,PG
2020-06-25,104.2308,117.89,118.03,116.03,116.99,5489300,PG
2020-06-26,101.879,115.23,118.47,115.04,117.59,23201700,PG
2020-06-29,104.0275,117.66,118.05,116.35,116.51,6866900,PG
2020-06-30,105.7162,119.57,119.99,117.8,117.97,7818000,PG
2020-07-01,106.0786,119.98,120.39,118.9,119.65,6501200,PG
2020-07-02,106.8744,120.88,122.57,120.53,121.0,6150900,PG
2020-07-06,107.5375,121.63,122.41,120.88,121.77,6023300,PG
2020-07-07,108.0591,122.22,123.25,120.89,121.3,6866300,PG
2020-07-08,108.6515,122.89,123.24,122.0,122.15,6494100,PG
2020-07-09,108.289,122.48,123.98,121.81,122.82,5341000,PG
2020-07-10,109.5356,123.89,124.5,122.47,122.57,6752600,PG
2020-07-13,109.6771,124.05,125.59,123.34,124.0,7681500,PG
2020-07-14,110.5966,125.09,125.66,123.5,123.99,6272100,PG
2020-07-15,110.0749,124.5,126.9,124.26,125.98,8145000,PG
2020-07-16,110.3048,124.76,125.52,123.91,125.08,3959300,PG
2020-07-17,111.074,125.63,126.07,124.83,125.09,4868600,PG
2020-07-20,110.7292,125.24,125.84,124.79,125.47,4242100,PG
2020-07-21,110.5789,125.07,126.64,124.92,125.49,5162300,PG
2020-07-22,111.5249,126.14,126.4,124.21,125.5,5929200,PG
2020-07-23,112.2465,126.16,127.18,125.6,126.12,6664800,PG
2020-07-24,112.0686,125.96,127.77,125.32,126.99,6014200,PG
2020-07-27,112.3889,126.32,126.64,125.54,125.71,6464600,PG
2020-07-28,113.7768,127.88,128.46,126.29,126.37,7644400,PG
2020-07-29,114.1594,128.31,129.24,127.36,127.56,6702000,PG
2020-07-30,116.9264,131.42,132.03,129.65,130.66,10400700,PG
2020-07-31,116.6595,131.12,131.21,129.27,130.66,8487000,PG
2020-08-03,116.8107,131.29,131.92,130.47,130.47,7769400,PG
2020-08-04,119.035,133.79,133.93,130.7,130.77,7773700,PG
2020-08-05,118.7236,133.44,134.65,133.12,133.59,5680000,PG
2020-08-06,118.0741,132.71,133.37,132.12,132.85,3974100,PG
