date,adj_close,close,high,low,open,volume,symbol
2020-06-15,266.0111,286.28,287.0,273.71,278.02,4494600,UNH
2020-06-16,272.2554,293.0,297.57,287.44,295.44,4245400,UNH
2020-06-17,271.8837,292.6,295.1,291.23,295.1,2538000,UNH
2020-06-18,270.843,291.48,291.78,286.6,290.43,2926600,UNH
2020-06-19,271.7855,291.24,296.52,290.91,294.43,5172800,UNH
2020-06-22,273.12,292.67,293.0,286.26,289.79,2174100,UNH
2020-06-23,277.7207,297.6,299.28,291.07,294.01,4023400,UNH
2020-06-24,269.8632,289.18,297.1,285.57,293.99,3399900,UNH
2020-06-25,276.4329,296.22,296.78,286.06,288.28,3112500,UNH
2020-06-26,267.7168,286.88,296.58,285.82,295.14,5043200,UNH
2020-06-29,270.4044,289.76,292.28,286.62,288.45,2356700,UNH
2020-06-30,275.2477,294.95,296.45,287.66,288.57,2932900,UNH
2020-07-01,277.8419,297.73,300.4,295.24,295.83,2303800,UNH
2020-07-02,278.3366,298.26,303.08,297.18,300.5,1971700,UNH
2020-07-06,282.5827,302.81,303.49,299.33,303.0,2395000,UNH
2020-07-07,276.8341,296.65,303.56,295.95,300.66,2075700,UNH
2020-07-08,278.4298,298.36,300.87,295.68,297.35,1987400,UNH
2020-07-09,271.7109,291.16,298.55,287.5,295.1,3061700,UNH
2020-07-10,271.7762,291.23,294.24,287.1,294.24,2391600,UNH
2020-07-13,279.6898,299.71,304.52,291.77,292.09,4263300,UNH
2020-07-14,287.9112,308.52,309.74,296.71,297.81,4234900,UNH
2020-07-15,283.7585,304.07,310.69,298.66,301.12,5116900,UNH
2020-07-16,286.6328,307.15,310.85,303.16,305.01,3844500,UNH
2020-07-17,286.0542,306.53,310.97,306.25,309.09,3016500,UNH
2020-07-20,283.1892,303.46,308.6,302.38,306.79,2375500,UNH
2020-07-21,284.7289,305.11,307.0,303.11,305.03,2340200,UNH
2020-07-22,286.2222,306.71,306.91,301.81,304.86,1935800,UNH
2020-07-23,282.732,302.97,308.5,301.27,308.2,2367700,UNH
2020-07-24,280.6976,300.79,304.28,299.23,303.33,2415700,UNH
2020-07-27,278.654,298.6,302.13,297.37,298.43,2060500,UNH
2020-07-28,279.895,299.93,301.4,297.21,297.89,2257400,UNH
2020-07-29,286.1941,306.68,309.75,300.0,301.46,2672700,UNH
2020-07-30,284.841,305.23,306.46,298.89,301.68,2205300,UNH
2020-07-31,282.5547,302.78,303.74,298.05,303.44,3913500,UNH
2020-08-03,283.3292,303.61,304.91,299.2,303.59,2628500,UNH
2020-08-04,284.1598,304.5,308.86,300.07,301.91,3594900,UNH
2020-08-05,291.5974,312.47,312.96,305.02,306.83,2982200,UNH
2020-08-06,293.0812,314.06,316.24,310.4,312.0,3305300,UNH
2020-08-07,295.8528,317.03,319.0,313.34,313.34,2600800,UNH
2020-08-10,297.7845,319.1,320.47,315.58,317.0,2563600,UNH
2020-08-11,294.4716,315.55,324.57,314.66,322.92,3018200,UNH
2020-08-12,300.7428,322.27,323.29,317.64,318.0,2915800,UNH
2020-08-13,300.0428,321.52,321.87,317.84,320.68,2159500,UNH
2020-08-14,302.0772,323.7,323.93,318.73,320.54,1787200,UNH
2020-08-17,299.1003,320.51,323.8,319.35,321.45,2772500,UNH
2020-08-18,295.6474,316.81,322.67,315.71,321.98,2520000,UNH
2020-08-19,294.3317,315.4,319.49,315.18,316.77,2066700,UNH
2020-08-20,292.3999,313.33,315.28,312.01,314.83,2245600,UNH
2020-08-21,293.1559,314.14,315.28,310.09,311.28,2488500,UNH
2020-08-24,288.2098,308.84,316.9,306.49,316.81,2922200,UNH
2020-08-25,291.3641,312.22,312.36,307.8,312.2,1879300,UNH
2020-08-26,288.1912,308.82,311.36,303.61,310.98,3178900,UNH
2020-08-27,290.8509,311.67,314.77,305.49,310.41,2321000,UNH
2020-08-28,293.3705,314.37,315.82,308.97,312.34,2883500,UNH
2020-08-31,291.6721,312.55,319.56,312.54,314.89,4341600,UNH
2020-09-01,291.9333,312.83,314.72,310.0,310.16,2487100,UNH
2020-09-02,298.8484,320.24,321.28,312.56,312.56,2846500,UNH
2020-09-03,295.1063,316.23,323.82,313.73,322.0,3872500,UNH
2020-09-04,291.1588,312.0,317.83,306.63,316.48,2901000,UNH
2020-09-08,286.7261,307.25,311.46,303.83,311.03,2594500,UNH
2020-09-09,291.1774,312.02,315.32,308.42,309.68,2195600,UNH
2020-09-10,284.2531,304.6,314.44,303.72,312.73,2421200,UNH
2020-09-11,282.5008,301.48,306.46,297.29,305.07,3085900,UNH
2020-09-14,289.1446,308.57,311.12,303.01,303.01,1795500,UNH
2020-09-15,287.8888,307.23,311.46,306.05,310.05,1468300,UNH
2020-09-16,287.2235,306.52,312.25,306.2,309.07,3438200,UNH
2020-09-17,285.7805,304.98,307.38,302.11,304.5,2394100,UNH
2020-09-18,288.6291,308.02,310.39,303.77,305.01,3795400,UNH
2020-09-21,280.355,299.19,300.53,291.66,300.47,4124700,UNH
2020-09-22,275.7353,294.26,300.62,292.92,298.44,3163600,UNH
2020-09-23,273.7488,292.14,296.1,291.83,295.0,3709900,UNH
2020-09-24,274.2361,292.66,294.93,289.64,292.19,2869100,UNH
2020-09-25,283.4566,302.5,303.27,291.22,291.25,2455800,UNH
2020-09-28,284.1407,303.23,310.01,302.83,306.39,2575700,UNH
2020-09-29,285.0027,304.15,305.5,300.68,303.67,1797800,UNH
2020-09-30,292.143,311.77,314.52,303.99,304.02,3497300,UNH
2020-10-01,293.3611,313.07,315.17,309.15,312.91,2731200,UNH
2020-10-02,292.3398,311.98,317.39,308.36,312.1,2338000,UNH
2020-10-05,298.1214,318.15,318.42,313.12,315.07,1638600,UNH
2020-10-06,294.6543,314.45,320.3,313.49,318.95,2434400,UNH
2020-10-07,302.8254,323.17,324.74,315.82,315.82,2596600,UNH
