date,adj_close,close,high,low,open,volume,symbol
2015-06-17,64.1174,68.75,69.41,68.51,69.11,7818300,V
2015-06-18,64.8169,69.5,69.84,68.88,68.9,7596800,V
2015-06-19,64.0614,68.69,69.33,68.48,69.27,8728800,V
2015-06-22,64.4345,69.09,69.44,68.9,69.32,5511700,V
2015-06-23,64.7422,69.42,69.59,69.09,69.1,3888700,V
2015-06-24,64.2199,68.86,69.4,68.76,69.11,4670600,V
2015-06-25,63.9961,68.62,69.38,68.51,69.38,4705100,V
2015-06-26,64.1174,68.75,69.21,68.41,68.7,7025600,V
2015-06-29,62.2242,66.72,68.49,66.69,67.99,9706700,V
2015-06-30,62.6252,67.15,67.48,66.76,67.34,6811000,V
2015-07-01,63.278,67.85,68.3,67.53,67.94,6260800,V
2015-07-02,63.6417,68.24,68.32,67.62,68.15,5053000,V
2015-07-06,63.5298,68.12,68.12,67.36,67.55,5270600,V
2015-07-07,63.2034,67.77,68.2,66.53,68.11,6500700,V
2015-07-08,62.2335,66.73,67.32,66.65,67.01,5973500,V
2015-07-09,62.5319,67.05,67.94,67.02,67.65,4837800,V
2015-07-10,63.8096,68.42,68.54,67.91,67.98,5110200,V
2015-07-13,64.8355,69.52,69.6,68.83,69.05,6832300,V
2015-07-14,65.3764,70.1,70.3,69.47,69.97,5635400,V
2015-07-15,65.3018,70.02,70.28,69.69,70.13,4506200,V
2015-07-16,65.8147,70.57,70.59,69.97,70.43,6512500,V
2015-07-17,66.1038,70.88,70.96,70.28,70.4,6287600,V
2015-07-20,67.8012,72.7,73.0,71.23,71.29,10198500,V
2015-07-21,67.167,72.02,72.88,71.76,72.84,10919600,V
2015-07-22,67.1204,71.97,72.15,71.62,71.94,6303200,V
2015-07-23,66.9152,71.75,72.25,71.2,72.2,10755700,V
2015-07-24,69.7597,74.8,76.92,74.4,76.78,21196100,V
2015-07-27,68.883,73.86,74.71,73.58,74.28,10293800,V
2015-07-28,69.7038,74.74,75.18,73.85,74.3,10054300,V
2015-07-29,70.8882,76.01,76.43,74.67,74.95,13746900,V
2015-07-30,71.2332,76.38,76.76,75.24,75.89,6507000,V
2015-07-31,70.2633,75.34,76.51,75.32,76.45,8526300,V
2015-08-03,70.6643,75.77,76.04,75.01,75.59,5810800,V
2015-08-04,70.198,75.27,76.08,75.03,75.53,6957900,V
2015-08-05,69.9276,74.98,76.17,74.92,76.05,6976400,V
2015-08-06,68.6219,73.58,75.42,73.55,75.3,7767800,V
2015-08-07,69.2094,74.21,74.31,73.32,73.68,6484600,V
2015-08-10,69.368,74.38,75.18,73.85,74.89,6183500,V
2015-08-11,68.4167,73.36,74.27,73.22,73.81,6476000,V
2015-08-12,68.697,73.54,73.83,72.39,72.87,7625100,V
2015-08-13,69.0613,73.93,74.43,73.38,73.43,5992000,V
2015-08-14,69.3322,74.22,74.4,73.45,73.85,3861500,V
2015-08-17,69.5097,74.41,74.44,73.5,74.0,3473500,V
2015-08-18,69.5657,74.47,74.73,74.01,74.26,6325500,V
2015-08-19,69.5003,74.4,74.96,73.67,74.2,5886900,V
2015-08-20,69.0799,73.95,74.53,72.81,73.56,12082300,V
2015-08-21,66.5017,71.19,73.62,70.96,72.5,15752200,V
2015-08-24,63.8581,68.36,69.36,60.0,64.16,20950600,V
2015-08-25,62.5596,66.97,71.8,66.6,71.69,14485000,V
2015-08-26,66.0347,70.69,70.99,67.9,69.37,12220000,V
2015-08-27,67.632,72.4,72.49,70.8,71.94,9122200,V
2015-08-28,67.6881,72.46,72.67,71.6,72.1,6411400,V
2015-08-31,66.6045,71.3,72.08,70.82,71.91,8313300,V
2015-09-01,64.4186,68.96,70.39,68.5,69.41,11491500,V
2015-09-02,65.0351,69.62,69.95,68.7,69.94,9218000,V
2015-09-03,65.7637,70.4,71.08,69.99,70.45,9035200,V
2015-09-04,64.6054,69.16,69.91,68.64,69.29,9469400,V
2015-09-08,65.8852,70.53,71.01,69.55,70.75,7984900,V
2015-09-09,65.0164,69.6,71.38,69.43,70.75,9022200,V
2015-09-10,65.605,70.23,70.65,69.46,69.5,7244200,V
2015-09-11,66.1,70.76,70.81,69.46,69.86,6452100,V
2015-09-14,65.3994,70.01,70.8,69.61,70.72,7059300,V
2015-09-15,65.8665,70.51,70.75,69.51,70.48,6962600,V
2015-09-16,66.3149,70.99,71.11,70.05,70.45,8207600,V
2015-09-17,66.2869,70.96,72.32,70.5,71.3,7663300,V
2015-09-18,65.194,69.79,70.81,69.71,69.82,14508100,V
