date,adj_close,close,high,low,open,volume,symbol
2015-06-17,19.9894,24.2433,24.3,24.1133,24.21,17111700,WMT
2015-06-18,20.0581,24.3267,24.4933,24.2467,24.2467,25129800,WMT
2015-06-19,19.9921,24.2467,24.4067,24.2333,24.2667,43652100,WMT
2015-06-22,20.0059,24.2633,24.3967,24.23,24.3267,19468500,WMT
2015-06-23,19.9454,24.19,24.3133,24.1133,24.2967,23628900,WMT
2015-06-24,19.8932,24.1267,24.2167,24.0467,24.1867,22015200,WMT
2015-06-25,19.7502,23.9533,24.21,23.9433,24.15,15879600,WMT
2015-06-26,19.8217,24.04,24.1533,23.9567,23.9867,20693400,WMT
2015-06-29,19.6293,23.8067,24.0,23.8033,23.9333,24563400,WMT
2015-06-30,19.4946,23.6433,23.9367,23.5933,23.9367,33307800,WMT
2015-07-01,19.7557,23.96,23.9833,23.4533,23.8667,32321700,WMT
2015-07-02,19.7502,23.9533,24.1867,23.8867,24.0067,19758300,WMT
2015-07-06,19.9344,24.1767,24.23,23.7933,23.7933,31609500,WMT
2015-07-07,20.2807,24.5967,24.62,24.0,24.22,37263900,WMT
2015-07-08,20.0801,24.3533,24.53,24.3,24.4333,23373000,WMT
2015-07-09,20.0031,24.26,24.5767,24.2367,24.5567,26087400,WMT
2015-07-10,20.0966,24.3733,24.5167,24.36,24.36,16737900,WMT
2015-07-13,20.3054,24.6267,24.7033,24.5033,24.5033,18253500,WMT
2015-07-14,20.2807,24.5967,24.6967,24.4933,24.66,16554600,WMT
2015-07-15,20.2422,24.55,24.6333,24.3967,24.53,13700100,WMT
2015-07-16,20.2917,24.61,24.7133,24.5867,24.6567,15695100,WMT
2015-07-17,20.1708,24.4633,24.69,24.4367,24.58,17041800,WMT
2015-07-20,20.091,24.3667,24.48,24.3533,24.45,15256800,WMT
2015-07-21,19.9921,24.2467,24.43,24.1767,24.3667,19323300,WMT
2015-07-22,20.1075,24.3867,24.6067,24.26,24.26,20884800,WMT
2015-07-23,19.9289,24.17,24.4067,24.14,24.3567,12758700,WMT
2015-07-24,19.6733,23.86,24.1867,23.8333,24.1767,17853300,WMT
2015-07-27,19.6183,23.7933,23.8833,23.67,23.7933,18592800,WMT
2015-07-28,19.8162,24.0333,24.13,23.7433,23.8433,25776900,WMT
2015-07-29,19.8519,24.0767,24.21,24.03,24.0833,14819100,WMT
2015-07-30,19.8327,24.0533,24.1767,23.9267,24.01,13813500,WMT
2015-07-31,19.7832,23.9933,24.1633,23.8867,24.1467,23785200,WMT
2015-08-03,19.8382,24.06,24.1267,23.9467,23.9467,15395400,WMT
2015-08-04,19.8574,24.0833,24.2667,23.9767,24.14,17620200,WMT
2015-08-05,20.3417,24.5033,24.5633,24.0833,24.13,26147400,WMT
2015-08-06,20.1425,24.2633,24.46,24.22,24.45,19103100,WMT
2015-08-07,19.7163,23.75,24.2767,23.7233,24.2367,23392500,WMT
2015-08-10,19.78,23.8267,23.9167,23.78,23.8333,18060300,WMT
2015-08-11,19.9045,23.9767,24.1233,23.7167,23.75,20487600,WMT
2015-08-12,20.0843,24.1933,24.22,23.7567,23.8433,26524200,WMT
2015-08-13,19.9543,24.0367,24.2567,23.99,24.1333,22957200,WMT
2015-08-14,20.029,24.1267,24.2,24.0133,24.1,17737500,WMT
2015-08-17,19.8989,23.97,24.0767,23.92,23.9433,22813200,WMT
2015-08-18,19.2265,23.16,23.5,23.08,23.3333,63945000,WMT
2015-08-19,18.9747,22.8567,23.13,22.59,22.9567,49000200,WMT
2015-08-20,18.936,22.81,23.1,22.6467,22.6933,29580300,WMT
2015-08-21,18.413,22.18,22.77,22.18,22.6367,47239500,WMT
