date,adj_close,close,high,low,open,volume,symbol
2015-06-17,21.7161,23.52,23.6,22.66,23.44,7921000,X
2015-06-18,21.596,23.39,23.63,22.93,23.39,6222900,X
2015-06-19,21.3652,23.14,23.78,23.1,23.27,4959000,X
2015-06-22,20.8851,22.62,23.22,22.58,23.2,7478500,X
2015-06-23,21.1528,22.91,23.14,22.55,22.57,6964700,X
2015-06-24,20.6912,22.41,23.15,22.26,22.95,6268300,X
2015-06-25,20.3496,22.04,22.52,21.91,22.42,5481900,X
2015-06-26,19.9433,21.6,22.05,21.5,22.05,6303400,X
2015-06-29,19.297,20.9,21.66,20.89,21.33,7086100,X
2015-06-30,19.0385,20.62,21.13,20.26,21.05,8880400,X
2015-07-01,18.9369,20.51,21.01,20.38,20.77,5034700,X
2015-07-02,18.2629,19.78,20.55,19.55,20.55,10610800,X
2015-07-06,18.1613,19.67,19.92,19.32,19.4,5878100,X
2015-07-07,18.4568,19.99,20.44,18.52,19.3,16184800,X
2015-07-08,17.6905,19.16,19.96,19.06,19.66,9234600,X
2015-07-09,17.4781,18.93,19.72,18.91,19.63,9023500,X
2015-07-10,17.4781,18.93,19.43,18.73,19.3,7382900,X
2015-07-13,18.3645,19.89,19.99,18.84,19.13,9203000,X
2015-07-14,18.3922,19.92,19.99,19.26,19.76,5456000,X
2015-07-15,17.0995,18.52,19.89,18.38,19.87,12366600,X
2015-07-16,16.6287,18.01,18.83,17.69,18.65,13165100,X
2015-07-17,16.4348,17.8,18.44,17.55,18.0,11391100,X
2015-07-20,16.3609,17.72,17.82,17.18,17.76,8686200,X
2015-07-21,16.3424,17.7,18.39,17.56,17.7,8361100,X
2015-07-22,15.8716,17.19,17.46,16.81,17.46,8892600,X
2015-07-23,15.6684,16.97,17.77,16.9,17.25,10516300,X
2015-07-24,15.0037,16.25,16.96,16.18,16.9,12220800,X
2015-07-27,15.5115,16.8,16.97,15.68,16.25,13607700,X
2015-07-28,16.3701,17.73,17.75,16.83,17.15,14931600,X
2015-07-29,18.503,20.04,20.18,18.27,18.29,29629100,X
2015-07-30,18.5491,20.09,20.67,19.31,20.26,23033300,X
2015-07-31,17.9767,19.47,20.46,19.27,20.22,14955300,X
2015-08-03,18.2721,19.79,19.85,19.02,19.27,11685100,X
2015-08-04,18.0967,19.6,20.33,19.42,20.04,11278900,X
2015-08-05,18.346,19.87,20.75,19.71,20.17,11732200,X
2015-08-06,19.0662,20.65,20.73,19.47,19.64,10004500,X
2015-08-07,18.9554,20.53,21.15,20.18,20.6,9686800,X
2015-08-10,19.7976,21.39,21.49,19.99,20.64,9863600,X
2015-08-11,18.0298,19.48,20.63,19.25,20.25,14155100,X
2015-08-12,17.7151,19.14,19.29,18.41,19.17,14294500,X
2015-08-13,17.6874,19.11,19.41,18.61,18.78,7695200,X
2015-08-14,17.8355,19.27,19.48,18.91,19.07,4771300,X
2015-08-17,17.5856,19.0,19.45,18.91,19.14,5402100,X
2015-08-18,17.0858,18.46,18.85,18.42,18.64,6828000,X
2015-08-19,15.7622,17.03,18.3,17.01,18.2,12805200,X
2015-08-20,15.6511,16.91,17.15,16.6,17.06,10511600,X
2015-08-21,14.7256,15.91,16.54,15.85,16.3,13663100,X
2015-08-24,14.1055,15.24,16.18,14.54,14.8,13164300,X
2015-08-25,13.2632,14.33,16.06,14.25,16.05,17657500,X
2015-08-26,13.5131,14.6,14.81,14.19,14.59,12334600,X
2015-08-27,15.6326,16.89,16.95,14.87,15.04,18696700,X
2015-08-28,15.5308,16.78,17.72,16.36,16.69,12793800,X
2015-08-31,15.1606,16.38,16.84,16.14,16.52,10080200,X
2015-09-01,14.7071,15.89,16.4,15.75,15.83,8686700,X
2015-09-02,15.1143,16.33,16.53,15.76,16.53,8413100,X
2015-09-03,14.7441,15.93,16.64,15.72,16.49,9149300,X
2015-09-04,13.9389,15.06,15.84,15.04,15.64,10003900,X
2015-09-08,13.8371,14.95,15.49,14.7,15.39,12606300,X
2015-09-09,13.5964,14.69,15.3,14.12,15.17,15556400,X
2015-09-10,13.3835,14.46,14.75,14.2,14.67,11891000,X
2015-09-11,13.0503,14.1,14.55,13.91,14.39,8972000,X
2015-09-14,12.5783,13.59,14.03,13.38,13.96,9238500,X
2015-09-15,12.532,13.54,13.76,13.4,13.55,7710300,X
2015-09-16,12.7079,13.73,14.07,13.32,13.61,10068500,X
2015-09-17,12.7634,13.79,14.28,13.53,13.65,11420800,X
2015-09-18,12.2358,13.22,13.67,13.07,13.63,14570400,X
2015-09-21,11.9397,12.9,13.29,12.78,13.26,12925800,X
2015-09-22,10.9401,11.82,12.69,11.81,12.5,15861700,X
2015-09-23,10.394,11.23,11.93,11.16,11.91,12552800,X
2015-09-24,10.6254,11.48,11.7,10.9,11.03,16144500,X
2015-09-25,9.9867,10.79,11.65,10.75,11.58,14393300,X
2015-09-28,9.4407,10.2,10.51,10.02,10.48,14212400,X
2015-09-29,9.6721,10.45,10.75,10.12,10.29,12722600,X
2015-09-30,9.6443,10.42,10.77,10.21,10.58,10786600,X
2015-10-01,9.1723,9.91,10.64,9.8,10.33,12959000,X
2015-10-02,9.7646,10.55,10.62,9.66,9.85,14189600,X
2015-10-05,10.5791,11.43,11.59,10.71,10.82,16756100,X
2015-10-06,10.9216,11.8,11.92,11.18,11.55,12147400,X
2015-10-07,11.3751,12.29,12.9,11.88,12.3,17914200,X
2015-10-08,11.6805,12.62,12.8,11.91,12.21,8944600,X
2015-10-09,11.4584,12.38,13.08,12.14,12.95,11673200,X
2015-10-12,10.8197,11.69,12.6,11.5,12.54,8035300,X
2015-10-13,10.9863,11.87,12.32,11.5,11.5,7295000,X
2015-10-14,11.2733,12.18,12.35,11.75,12.07,6818200,X
2015-10-15,11.5972,12.53,12.56,12.0,12.16,6454300,X
2015-10-16,11.5509,12.48,12.6,12.0,12.6,6584800,X
2015-10-19,11.1622,12.06,12.38,12.03,12.31,3679800,X
2015-10-20,10.5421,11.39,12.01,11.32,12.0,9566000,X
2015-10-21,10.0423,10.85,11.53,10.81,11.49,6760800,X
2015-10-22,10.4495,11.29,11.4,10.94,10.99,9286000,X
2015-10-23,10.8568,11.73,11.82,11.32,11.82,7827300,X
2015-10-26,9.8387,10.63,11.65,10.63,11.53,8855000,X
2015-10-27,9.9127,10.71,10.89,10.23,10.57,7967900,X
2015-10-28,10.1996,11.02,11.44,10.48,10.64,9280800,X
2015-10-29,10.4125,11.25,11.35,10.88,10.9,6315500,X
2015-10-30,10.8105,11.68,11.83,11.1,11.37,8140500,X
2015-11-02,11.8656,12.82,12.82,11.64,11.7,13827700,X
2015-11-03,11.9767,12.94,13.48,12.43,12.89,22582400,X
2015-11-04,10.2366,11.06,11.94,11.02,11.88,21595400,X
2015-11-05,9.6165,10.39,10.9,10.35,10.9,12090700,X
2015-11-06,10.0978,10.91,10.99,10.25,10.31,11750400,X
2015-11-09,9.7276,10.51,10.98,10.45,10.84,7152300,X
2015-11-10,10.0531,10.81,10.89,10.3,10.42,7101300,X
2015-11-11,9.4114,10.12,10.97,10.01,10.94,9352500,X
2015-11-12,9.0022,9.68,10.02,9.61,9.94,10373400,X
2015-11-13,9.0673,9.75,9.94,9.42,9.78,8461200,X
2015-11-16,9.1231,9.81,10.17,9.65,9.75,5890500,X
2015-11-17,8.7883,9.45,9.89,9.33,9.82,9345200,X
2015-11-18,9.0208,9.7,9.83,9.46,9.59,6910800,X
2015-11-19,8.9557,9.63,9.89,9.46,9.63,9021400,X
2015-11-20,8.0908,8.7,9.73,8.63,9.69,18521400,X
2015-11-23,7.4398,8.0,8.75,7.94,8.68,15618500,X
2015-11-24,7.5328,8.1,8.2,7.5,7.63,26936800,X
2015-11-25,7.6537,8.23,8.43,7.85,8.1,9074100,X
2015-11-27,7.5142,8.08,8.21,7.96,8.18,2988900,X
2015-11-30,7.5049,8.07,8.18,7.85,8.09,6230500,X
2015-12-01,7.5235,8.09,8.25,8.0,8.06,6584500,X
2015-12-02,7.198,7.74,8.05,7.67,8.0,7386200,X
2015-12-03,7.2352,7.78,8.0,7.65,7.8,7553200,X
2015-12-04,7.2259,7.77,7.91,7.61,7.78,7042600,X
2015-12-07,6.5936,7.09,7.63,7.02,7.6,9532100,X
2015-12-08,6.5936,7.09,7.24,6.8,6.88,7981100,X
2015-12-09,7.3282,7.88,7.95,7.17,7.23,13998500,X
2015-12-10,8.2117,8.83,9.12,7.84,7.88,19749300,X
2015-12-11,7.6723,8.25,8.59,8.08,8.53,11860200,X
2015-12-14,7.3003,7.85,8.45,7.73,8.16,9244400,X
2015-12-15,7.8862,8.48,8.73,8.0,8.03,11024500,X
2015-12-16,7.7281,8.31,8.55,8.08,8.48,9139100,X
2015-12-17,6.9097,7.43,8.22,7.37,8.06,16412700,X
2015-12-18,7.4491,8.01,8.09,7.5,7.55,13664200,X
2015-12-21,7.8304,8.42,8.6,7.82,8.07,12678100,X
2015-12-22,8.4628,9.1,9.21,8.11,8.38,12510500,X
2015-12-23,8.0536,8.66,9.58,8.55,9.5,21724800,X
2015-12-24,8.0257,8.63,8.93,8.58,8.77,7966000,X
2015-12-28,7.7188,8.3,8.51,8.15,8.5,7293400,X
2015-12-29,7.6258,8.2,8.47,7.9,8.41,7524600,X
2015-12-30,7.57,8.14,8.47,8.05,8.11,7291000,X
2015-12-31,7.4212,7.98,8.26,7.96,8.09,7622100,X
2016-01-04,7.57,8.14,8.14,7.62,7.85,9349800,X
2016-01-05,7.6444,8.22,8.25,7.89,8.14,7514900,X
2016-01-06,7.3747,7.93,8.13,7.85,8.05,9559000,X
2016-01-07,6.7889,7.3,7.77,7.2,7.7,10991000,X
2016-01-08,6.5471,7.04,7.64,7.04,7.5,10150400,X
2016-01-11,6.3425,6.82,7.25,6.69,7.12,9994500,X
